sep=,
"Time","I38 - BOYA","I39 - BOYA","I40 - BOYA","I41 - BOYA","I42 - BOYA","I43 - BOYA","I44 - BOYA","I46 - BOYA","I47 - BOYA","I48 - BOYA"
2026-06-22 13:00:00,5.60,5.20,6.98,2.28,5.92,,4.97,,Full,
2026-06-22 15:00:00,4.72,Medio +,Full,6.04,LLeno,,5.55,,Full,
2026-06-22 17:00:00,4.83,Medio +,Full,LLeno,LLeno,,LLeno,,Full,
2026-06-22 19:00:00,4.93,Medio +,Full,LLeno,LLeno,,LLeno,,Full,
2026-06-22 21:00:00,4.47,Medio +,Full,5.83,5.77,Full,LLeno,,Full,
2026-06-22 23:00:00,4.64,Medio +,6.95,0.999,4.61,,5.13,,Full,
2026-06-23 01:00:00,3.76,4.93,6.81,0.0717,4.58,,Medio +,,Full,
2026-06-23 03:00:00,6.71,4.30,6.86,0.392,4.15,,Medio +,,Full,
2026-06-23 05:00:00,5.96,1.28,6.80,0.00489,4.84,,Medio +,,Full,
2026-06-23 07:00:00,LLeno,,6.77,Vacio,Medio +,,Medio +,,Full,
2026-06-23 09:00:00,LLeno,2.51,Full,Vacio,Medio +,,4.42,,Full,
2026-06-23 11:00:00,5.90,,6.92,Vacio,4.01,Full,3.34,,Full,
2026-06-23 13:00:00,4.44,,Full,0.893,2.99,,3.02,,Full,
2026-06-23 15:00:00,Medio +,3.10,Full,6.17,4.84,Full,4.33,,Full,
2026-06-23 17:00:00,4.98,,Full,LLeno,LLeno,,LLeno,,Full,
2026-06-23 19:00:00,Medio +,,Full,LLeno,LLeno,,5.97,,Full,
2026-06-23 21:00:00,4.99,,Full,LLeno,LLeno,,LLeno,,Full,
2026-06-23 23:00:00,4.90,2.64,Full,5.61,5.44,Full,LLeno,,Full,
2026-06-24 01:00:00,5.06,2.92,Full,5.04,3.94,,LLeno,,Full,
2026-06-24 03:00:00,6.56,,5.22,Medio +,4.78,,5.39,,Full,
2026-06-24 05:00:00,LLeno,,4.68,5.09,4.83,,,,Full,
2026-06-24 07:00:00,LLeno,,4.65,Medio +,Medio +,,,,Full,
2026-06-24 09:00:00,LLeno,,6.97,Medio +,Medio +,,,,6.96,
2026-06-24 11:00:00,5.19,,6.67,4.26,3.93,Full,6.42,,Full,
2026-06-24 13:00:00,3.89,,6.99,3.05,0.662,Full,,,Full,
2026-06-24 15:00:00,Medio ,Medio -,6.26,2.11,2.21,6.20,,,Full,
2026-06-24 17:00:00,3.97,2.84,6.46,2.67,6.43,LLeno,,,Full,
2026-06-24 19:00:00,4.18,,6.25,LLeno,6.22,LLeno,,,Full,
2026-06-24 21:00:00,3.81,2.95,5.67,LLeno,LLeno,LLeno,,,Full,
2026-06-24 23:00:00,3.16,2.36,5.69,5.25,LLeno,5.92,,,Full,
2026-06-25 01:00:00,6.78,,6.08,5.11,LLeno,5.02,,,Full,
2026-06-25 03:00:00,6.11,2.95,6.42,Medio +,3.56,Medio +,,,Full,
2026-06-25 05:00:00,5.97,,5.20,Medio +,1.50,Medio +,,,Full,
2026-06-25 07:00:00,LLeno,2.72,4.88,Medio +,2.93,Medio +,,,Full,
2026-06-25 09:00:00,LLeno,,6.09,4.68,3.17,Medio +,,,Full,
2026-06-25 11:00:00,LLeno,,6.98,3.40,1.92,4.97,Full,,Full,
2026-06-25 13:00:00,5.31,,Full,2.56,4.59,Medio +,6.37,,Full,
2026-06-25 15:00:00,Medio ,2.64,Full,6.36,6.21,5.38,LLeno,,Full,
2026-06-25 17:00:00,3.99,2.69,Full,6.06,LLeno,6.64,LLeno,,Full,
2026-06-25 19:00:00,Medio ,,Full,5.94,LLeno,6.04,LLeno,,Full,
2026-06-25 21:00:00,Medio ,,Full,LLeno,LLeno,LLeno,5.64,,Full,
2026-06-25 23:00:00,4.16,,Full,LLeno,LLeno,LLeno,Medio +,,Full,
2026-06-26 01:00:00,6.90,3.05,,5.94,3.45,5.97,Medio +,,Full,
2026-06-26 03:00:00,6.09,,Full,5.60,4.14,5.11,Medio +,,Full,
2026-06-26 05:00:00,5.97,,,5.12,4.92,Medio +,Medio +,,Full,
2026-06-26 07:00:00,LLeno,,,Medio +,4.41,Medio +,Medio +,,Full,
2026-06-26 09:00:00,LLeno,,,Medio +,4.72,Medio +,4.05,,6.99,
2026-06-26 11:00:00,LLeno,,,4.97,Medio +,Medio +,2.74,,Full,
2026-06-26 13:00:00,LLeno,Medio +,,Medio +,Medio +,5.95,4.14,,Full,
2026-06-26 15:00:00,4.42,0.139,,6.29,6.86,6.52,6.01,,Full,
2026-06-26 17:00:00,3.84,6.75,,LLeno,6.09,LLeno,LLeno,,Full,
2026-06-26 19:00:00,3.91,Full,,LLeno,LLeno,LLeno,LLeno,,Full,
