sep=,
"Time","I38 - BOYA","I39 - BOYA","I40 - BOYA","I41 - BOYA","I42 - BOYA","I43 - BOYA","I44 - BOYA","I48 - BOYA"
2026-09-09 10:35:40,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:36:00,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:36:20,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:36:40,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:37:00,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:37:20,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:37:40,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:38:00,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:38:20,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:38:40,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:39:00,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:39:20,,Medio +,,,,Medio +,Medio +,
2026-09-09 10:39:40,,Medio +,,,,Medio +,Medio +,
2026-09-09 10:40:00,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:40:20,,Medio +,,,,Medio +,Medio +,
2026-09-09 10:40:40,,Medio +,,,,Medio +,Medio +,
2026-09-09 10:41:00,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:41:20,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:41:40,,Medio +,,,,Medio +,Medio +,LLeno
2026-09-09 10:42:00,,Medio +,,,Medio +,Medio +,Medio +,
2026-09-09 10:42:20,,Medio +,,,,Medio +,Medio +,
2026-09-09 10:42:40,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:43:00,,Medio +,,,,Medio +,Medio +,
2026-09-09 10:43:20,,Medio +,,,,Medio +,Medio +,
2026-09-09 10:43:40,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:44:00,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:44:20,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:44:40,,Medio +,,Medio +,Medio +,Medio +,Medio +,LLeno
2026-09-09 10:45:00,,Medio +,,Medio +,,Medio +,Medio +,LLeno
2026-09-09 10:45:20,,Medio +,,Medio +,,Medio +,Medio +,5.25
2026-09-09 10:45:40,,Medio +,,Medio +,,Medio +,Medio +,Medio +
2026-09-09 10:46:00,,Medio +,,Medio +,,Medio +,Medio +,Medio +
2026-09-09 10:46:20,,Medio +,,Medio +,,Medio +,Medio +,Medio +
2026-09-09 10:46:40,,Medio +,,Medio +,,Medio +,Medio +,Medio +
