"Time","P_FW - I45","P_FW - I49","P_FW - I50","P_FW - I52","P_FW - I53","P_FW - I54","P_FW - I55","P_FW - I56","P_FW - I57","P_FW - I58","%FW - I45","%FW - I49","%FW - I50","%FW - I52","%FW - I53","%FW - I54","%FW - I55","%FW - I56","%FW - I57","%FW - I58"
2026-06-22 07:00:00,0.309 Mpa,0.186 Mpa,0.0324 Mpa,0.0533 Mpa,0.492 Mpa,0.0964 Mpa,0.189 Mpa,0.0888 Mpa,0.0545 Mpa,,16.9%,9.04%,5.79%,5.46%,22.2%,7.29%,8.93%,4.24%,6.31%,
2026-06-22 09:00:00,0.354 Mpa,0.0891 Mpa,0.122 Mpa,0.215 Mpa,0.653 Mpa,0.120 Mpa,0.0801 Mpa,0.149 Mpa,0.0554 Mpa,,17.3%,6.95%,8.19%,10.2%,28.6%,13.5%,5.97%,5.86%,6.08%,
2026-06-22 11:00:00,0.330 Mpa,0.136 Mpa,0.196 Mpa,0.213 Mpa,0.174 Mpa,0.103 Mpa,0.186 Mpa,0.152 Mpa,0.0961 Mpa,,36.9%,8.09%,9.41%,10.5%,13.0%,8.09%,9.18%,5.90%,7.54%,
2026-06-22 13:00:00,0.502 Mpa,0.131 Mpa,0.0212 Mpa,0.0852 Mpa,0.0502 Mpa,0.159 Mpa,0.0823 Mpa,0.161 Mpa,0.175 Mpa,,19.1%,7.20%,4.56%,6.16%,9.40%,8.85%,6.09%,11.2%,9.90%,
2026-06-22 15:00:00,0.282 Mpa,0.0154 Mpa,0.103 Mpa,0.0599 Mpa,0.712 Mpa,0.0928 Mpa,0.0811 Mpa,0.425 Mpa,0.128 Mpa,,14.8%,3.20%,5.96%,5.52%,40.4%,6.62%,5.86%,13.6%,8.01%,
2026-06-22 17:00:00,0.185 Mpa,0.126 Mpa,0.452 Mpa,0.0508 Mpa,0.138 Mpa,0.284 Mpa,0.110 Mpa,0.239 Mpa,0.0826 Mpa,,12.6%,6.77%,17.6%,4.89%,12.0%,13.0%,6.96%,8.78%,6.89%,
2026-06-22 19:00:00,0.388 Mpa,0.147 Mpa,0.173 Mpa,0.0751 Mpa,0.360 Mpa,0.0103 Mpa,0.0194 Mpa,0.231 Mpa,0.0433 Mpa,,19.3%,8.07%,9.28%,5.86%,18.3%,4.01%,4.77%,9.04%,5.31%,
2026-06-22 21:00:00,0.407 Mpa,0.0844 Mpa,0.0587 Mpa,0.0218 Mpa,0.758 Mpa,0 Mpa,0.00512 Mpa,0.179 Mpa,0.533 Mpa,,18.0%,6.23%,6.18%,4.43%,30.3%,3.60%,4.13%,7.80%,19.3%,
2026-06-22 23:00:00,0.274 Mpa,0.0426 Mpa,0.0487 Mpa,0.147 Mpa,0.631 Mpa,,0.178 Mpa,0.0882 Mpa,0.251 Mpa,,14.7%,6.35%,5.92%,8.02%,26.3%,,8.79%,4.58%,10.7%,
2026-06-23 01:00:00,0 Mpa,0 Mpa,0.0316 Mpa,0.150 Mpa,0.705 Mpa,0.115 Mpa,0.0179 Mpa,0.151 Mpa,0.0805 Mpa,,8%,3.32%,5.24%,8.32%,29.2%,6.66%,4.53%,6.24%,5.96%,
2026-06-23 03:00:00,0.178 Mpa,0.0774 Mpa,0.0371 Mpa,0.0747 Mpa,0.0334 Mpa,0.224 Mpa,0.191 Mpa,0.0544 Mpa,0.0518 Mpa,,12.6%,3.65%,4.75%,6.31%,17.7%,9.47%,9.16%,2.91%,5.30%,
2026-06-23 05:00:00,0.0983 Mpa,0.244 Mpa,0.0527 Mpa,0.0900 Mpa,0.256 Mpa,0.411 Mpa,0.104 Mpa,0.0507 Mpa,0.0908 Mpa,,10.5%,9.74%,5.27%,7.23%,15.1%,15.7%,6.49%,3.66%,6.82%,
2026-06-23 07:00:00,0.352 Mpa,0.0492 Mpa,0.00721 Mpa,0.0596 Mpa,0.654 Mpa,0.0520 Mpa,0.250 Mpa,0.0982 Mpa,0.102 Mpa,,16.8%,4.30%,2.97%,5.72%,29.2%,4.83%,10.2%,4.18%,7.16%,
2026-06-23 09:00:00,0.478 Mpa,0.0484 Mpa,0.112 Mpa,0.0489 Mpa,0.0927 Mpa,0.299 Mpa,0.0959 Mpa,0.513 Mpa,0.290 Mpa,,21.0%,4.41%,5.85%,4.88%,11.5%,12.6%,6.23%,16.5%,12.3%,
2026-06-23 11:00:00,0.0689 Mpa,0.0927 Mpa,0.0211 Mpa,0.0870 Mpa,0.513 Mpa,0.0655 Mpa,0.233 Mpa,0.0980 Mpa,0.267 Mpa,,9.49%,5.74%,3.92%,5.72%,25.3%,6.70%,10.1%,4.78%,11.7%,
2026-06-23 13:00:00,0.00717 Mpa,0.150 Mpa,0.0569 Mpa,0.0502 Mpa,0.0713 Mpa,0.0692 Mpa,0.229 Mpa,0.594 Mpa,0.124 Mpa,,7.65%,7.59%,5.29%,5.69%,9.62%,5.32%,10.2%,19.3%,8.11%,
2026-06-23 15:00:00,0.232 Mpa,0.239 Mpa,0.00810 Mpa,0.0847 Mpa,0.0919 Mpa,0.268 Mpa,0.348 Mpa,0.0853 Mpa,0.122 Mpa,,13.6%,10.3%,3.02%,7.19%,10.4%,11.9%,13.2%,4.23%,7.96%,
2026-06-23 17:00:00,0.139 Mpa,0.0218 Mpa,0.228 Mpa,0.0800 Mpa,0.0802 Mpa,1.07 Mpa,0.118 Mpa,0.479 Mpa,0.302 Mpa,,10.6%,4.17%,11.0%,7.21%,10.2%,35.9%,7.06%,15.1%,13.2%,
2026-06-23 19:00:00,1.12 Mpa,0.104 Mpa,0.211 Mpa,0.0244 Mpa,0.0681 Mpa,0.256 Mpa,0.0319 Mpa,0.376 Mpa,0.0586 Mpa,,37.2%,7.38%,10.2%,5.24%,9.33%,28.4%,5.12%,12.5%,5.57%,
2026-06-23 21:00:00,0.0486 Mpa,0.0942 Mpa,0.112 Mpa,0.297 Mpa,0.0806 Mpa,0.172 Mpa,0.0979 Mpa,0.122 Mpa,0.0579 Mpa,,8.88%,7.65%,7.15%,12.9%,10.4%,11.6%,6.52%,5.19%,5.39%,
2026-06-23 23:00:00,0.198 Mpa,0.102 Mpa,0.0970 Mpa,0.289 Mpa,0.106 Mpa,0.216 Mpa,0.157 Mpa,0.610 Mpa,0.0825 Mpa,,13.4%,8.18%,6.80%,12.6%,10.7%,15.0%,8.30%,19.6%,6.30%,
2026-06-24 01:00:00,0.382 Mpa,0.0760 Mpa,0.129 Mpa,0.0917 Mpa,0.0849 Mpa,0.404 Mpa,0.0151 Mpa,0.0429 Mpa,0.136 Mpa,,18.7%,13.5%,8.70%,6.59%,10.9%,19.8%,4.79%,3.24%,7.65%,
2026-06-24 03:00:00,0.183 Mpa,0.00192 Mpa,0.0338 Mpa,0.0314 Mpa,0.253 Mpa,0.0591 Mpa,0.285 Mpa,0.0866 Mpa,0.356 Mpa,,14.5%,3.20%,5.92%,3.91%,16.5%,18.7%,13.7%,5.06%,14.0%,
2026-06-24 05:00:00,0.418 Mpa,0.358 Mpa,0.131 Mpa,0.0464 Mpa,0.186 Mpa,0.0962 Mpa,0.0554 Mpa,0.0582 Mpa,0.322 Mpa,,17.8%,13.8%,8.00%,3.79%,13.2%,7.45%,6.67%,4.33%,13.3%,
2026-06-24 07:00:00,0.451 Mpa,0.0951 Mpa,0.114 Mpa,0.752 Mpa,0.371 Mpa,0.117 Mpa,0.217 Mpa,0.0471 Mpa,0.0927 Mpa,,19.0%,6.04%,6.73%,24.8%,20.0%,7.63%,9.50%,8.33%,6.83%,
2026-06-24 09:00:00,0.224 Mpa,0.358 Mpa,0.0298 Mpa,0.772 Mpa,0.103 Mpa,0.144 Mpa,0.0751 Mpa,0.190 Mpa,0.0936 Mpa,,13.0%,13.5%,5.20%,25.7%,11.3%,8.28%,5.60%,7.23%,6.84%,
2026-06-24 11:00:00,0.243 Mpa,0.125 Mpa,0.0209 Mpa,0.215 Mpa,0.176 Mpa,0.0183 Mpa,0.0619 Mpa,0.0625 Mpa,0.339 Mpa,,14.2%,6.41%,3.89%,10.2%,13.9%,5.59%,5.37%,3.37%,14.5%,
2026-06-24 13:00:00,0.821 Mpa,0.0901 Mpa,0.0726 Mpa,0.160 Mpa,0.187 Mpa,0.0702 Mpa,0.142 Mpa,1.22 Mpa,0.0334 Mpa,,29.1%,5.88%,5.66%,8.66%,13.7%,4.75%,7.55%,37.6%,5.12%,
2026-06-24 15:00:00,0.105 Mpa,0.0410 Mpa,0.0216 Mpa,0.170 Mpa,0.104 Mpa,0.0491 Mpa,0.178 Mpa,0.0561 Mpa,0.252 Mpa,,10.2%,4.22%,3.34%,9.00%,10.7%,12.9%,8.40%,6.65%,11.1%,
2026-06-24 17:00:00,0.106 Mpa,0.166 Mpa,0.125 Mpa,0.186 Mpa,0.185 Mpa,0.0442 Mpa,0.163 Mpa,0.672 Mpa,0.0491 Mpa,,10.2%,8.44%,7.42%,10.3%,13.3%,4.39%,8.44%,21.4%,5.56%,
2026-06-24 19:00:00,0.0990 Mpa,0.0919 Mpa,0.104 Mpa,0.0456 Mpa,0.0266 Mpa,0.158 Mpa,0.142 Mpa,0.0379 Mpa,0.0134 Mpa,,9.41%,6.82%,7.88%,5.89%,29.6%,13.7%,8.28%,2.99%,4.46%,
2026-06-24 21:00:00,0.0751 Mpa,0.0536 Mpa,0.0220 Mpa,0.0612 Mpa,0.802 Mpa,0.0785 Mpa,0.142 Mpa,0.156 Mpa,0.0266 Mpa,,9.10%,5.84%,5.31%,5.94%,33.2%,6.01%,8.04%,6.27%,4.35%,
2026-06-24 23:00:00,0.0942 Mpa,0.254 Mpa,0.107 Mpa,0.0461 Mpa,0.0796 Mpa,0.0799 Mpa,0.119 Mpa,0.0880 Mpa,0.473 Mpa,,9.59%,11.4%,6.92%,4.84%,10.3%,7.61%,7.59%,4.32%,17.7%,
2026-06-25 01:00:00,0.0627 Mpa,0.0815 Mpa,0.0410 Mpa,0.156 Mpa,0.134 Mpa,0.0701 Mpa,0.0636 Mpa,0.251 Mpa,0.0596 Mpa,,9.12%,5.51%,4.58%,11.8%,11.8%,7.90%,6.17%,9.61%,5.63%,
