"Time","P_BW - I45","P_BW - I49","P_BW - I50","P_BW - I52","P_BW - I53","P_BW - I54","P_BW - I55","P_BW - I56","P_BW - I57","P_BW - I58","%BW - I45","%BW - I49","%BW - I50","%BW - I52","%BW - I53","%BW - I54","%BW - I55","%BW - I56","%BW - I57","%BW - I58"
2026-07-04 03:00:00,0.131 Mpa,0.0453 Mpa,0.0592 Mpa,0.124 Mpa,,0.102 Mpa,0.177 Mpa,0.0714 Mpa,0.0796 Mpa,0.0198 Mpa,3.94%,2.95%,2.26%,3.94%,,2.01%,8.32%,2.01%,2.05%,0.541%
2026-07-04 05:00:00,0.0695 Mpa,0.129 Mpa,0.0563 Mpa,0.134 Mpa,,0.0755 Mpa,0.373 Mpa,0.122 Mpa,0.0878 Mpa,,1.91%,5.27%,1.78%,4.00%,,1.42%,12.6%,3.64%,2.31%,
2026-07-04 07:00:00,0.0606 Mpa,0.00153 Mpa,0.105 Mpa,0.129 Mpa,,0.171 Mpa,0.0707 Mpa,0.0489 Mpa,0.148 Mpa,0.0322 Mpa,1.64%,0.757%,3.80%,3.85%,,4.16%,5.30%,1.44%,4.16%,0.958%
2026-07-04 09:00:00,0.252 Mpa,,0.0783 Mpa,0.128 Mpa,,0.159 Mpa,0.185 Mpa,0.0651 Mpa,0.203 Mpa,0.114 Mpa,7.25%,,2.17%,3.76%,,4.09%,8.08%,2.02%,5.91%,3.09%
2026-07-04 11:00:00,0.198 Mpa,,0.0676 Mpa,0.157 Mpa,0.412 Mpa,0.161 Mpa,0.129 Mpa,0.109 Mpa,0.197 Mpa,0.0496 Mpa,5.78%,,2.66%,4.84%,13.2%,3.98%,6.61%,3.24%,5.65%,1.51%
2026-07-04 13:00:00,,,0.0642 Mpa,0.102 Mpa,,0.126 Mpa,0.136 Mpa,0.0935 Mpa,,0 Mpa,,,2.05%,3.01%,,3.05%,6.52%,2.88%,,0.0115%
2026-07-04 15:00:00,0.711 Mpa,,0.188 Mpa,0.133 Mpa,,0.173 Mpa,0.206 Mpa,0.154 Mpa,,0.00898 Mpa,19.5%,,7.49%,4.17%,,4.73%,8.38%,4.68%,,0.234%
2026-07-04 17:00:00,0.102 Mpa,,0.144 Mpa,0.110 Mpa,,0.177 Mpa,0.0824 Mpa,0.140 Mpa,0.0580 Mpa,0.0441 Mpa,2.86%,,4.70%,3.41%,,4.79%,5.49%,4.05%,1.65%,1.23%
2026-07-04 19:00:00,0.224 Mpa,,0.0954 Mpa,0.0639 Mpa,,0.0602 Mpa,0.130 Mpa,0.0838 Mpa,0.0582 Mpa,0.0607 Mpa,6.14%,,3.51%,2.04%,,1.15%,7.20%,2.37%,1.74%,1.78%
2026-07-04 21:00:00,0.0868 Mpa,,0.0683 Mpa,0.106 Mpa,,0.119 Mpa,0.186 Mpa,0.158 Mpa,0.0604 Mpa,0.103 Mpa,2.34%,,2.04%,3.44%,,2.78%,8.38%,4.63%,1.73%,3.17%
