"Time","P_FW - I38","P_FW - I39","P_FW - I40","P_FW - I41","P_FW - I42","P_FW - I43","P_FW - I44","P_FW - I47","P_FW - I48","%FW - I38","%FW - I39","%FW - I40","%FW - I41","%FW - I42","%FW - I43","%FW - I44","%FW - I47","%FW - I48"
2026-06-23 15:00:00,1.17 Mpa,0.423 Mpa,0.201 Mpa,0.209 Mpa,0.495 Mpa,0.144 Mpa,0.269 Mpa,0.387 Mpa,,33.5%,15.0%,6.45%,4.07%,13.8%,0%,6.48%,7.30%,
2026-06-23 17:00:00,0.103 Mpa,,0.258 Mpa,0.179 Mpa,0.0858 Mpa,,0.163 Mpa,0.411 Mpa,,3.32%,,6.57%,2.98%,2.79%,,5.47%,8.66%,
2026-06-23 19:00:00,0.0785 Mpa,,0.177 Mpa,0.161 Mpa,0.0843 Mpa,,0.0240 Mpa,0.258 Mpa,,2.72%,,3.56%,2.39%,2.77%,,10.8%,3.27%,
2026-06-23 21:00:00,0.166 Mpa,,0.330 Mpa,0.668 Mpa,0.0658 Mpa,,0.270 Mpa,0.285 Mpa,,5.37%,,7.98%,15.6%,2.82%,,7.52%,4.57%,
2026-06-23 23:00:00,0.105 Mpa,0.425 Mpa,0.255 Mpa,0.378 Mpa,0.155 Mpa,0.148 Mpa,0.598 Mpa,0.543 Mpa,,3.29%,5.31%,6.63%,7.78%,5.08%,0.0510%,18.9%,11.2%,
2026-06-24 01:00:00,0.368 Mpa,0.431 Mpa,0.205 Mpa,0.635 Mpa,0.0575 Mpa,,0.819 Mpa,0.444 Mpa,,9.24%,0.522%,5.33%,14.7%,2.58%,,32.0%,10.3%,
2026-06-24 03:00:00,0.247 Mpa,,0.262 Mpa,0.517 Mpa,0.420 Mpa,,0.0370 Mpa,0.409 Mpa,,6.83%,,6.22%,11.3%,12.5%,,3.24%,8.46%,
2026-06-24 05:00:00,0.170 Mpa,,0.271 Mpa,0.539 Mpa,0.125 Mpa,,,0.276 Mpa,,3.37%,,7.56%,12.1%,5.21%,,,3.98%,
2026-06-24 07:00:00,0.194 Mpa,,0.380 Mpa,0.399 Mpa,0.297 Mpa,,,0.408 Mpa,,4.83%,,10.5%,7.96%,10.2%,,,9.52%,
2026-06-24 09:00:00,0.323 Mpa,,0.718 Mpa,0.609 Mpa,0.905 Mpa,,,0.266 Mpa,,10.6%,,20.0%,13.6%,27.7%,,,14.4%,
