"Time","P_FW - I45","P_FW - I49","P_FW - I50","P_FW - I52","P_FW - I53","P_FW - I54","P_FW - I55","P_FW - I56","P_FW - I57","P_FW - I58","%FW - I45","%FW - I49","%FW - I50","%FW - I52","%FW - I53","%FW - I54","%FW - I55","%FW - I56","%FW - I57","%FW - I58"
2026-06-24 03:00:00,0.189 Mpa,0.0195 Mpa,0.0176 Mpa,0.0333 Mpa,0.264 Mpa,0.0500 Mpa,0.275 Mpa,0.0666 Mpa,0.332 Mpa,,9.64%,0.655%,3.02%,6.02%,11.0%,12.2%,12.4%,4.31%,10.4%,
2026-06-24 05:00:00,0.433 Mpa,0.279 Mpa,0.153 Mpa,0.0455 Mpa,0.189 Mpa,0.0875 Mpa,0.0522 Mpa,0.0736 Mpa,0.352 Mpa,,13.8%,9.14%,7.90%,5.90%,7.86%,3.31%,2.38%,5.15%,11.1%,
2026-06-24 07:00:00,0.487 Mpa,0.111 Mpa,0.127 Mpa,0.748 Mpa,0.391 Mpa,0.136 Mpa,0.199 Mpa,0.0476 Mpa,0.0965 Mpa,,16.0%,3.64%,5.94%,25.5%,15.3%,5.67%,5.37%,2.56%,3.33%,
2026-06-24 09:00:00,0.228 Mpa,0.426 Mpa,0.0324 Mpa,0.764 Mpa,0.100 Mpa,0.136 Mpa,0.0863 Mpa,0.173 Mpa,0.0863 Mpa,,7.88%,12.8%,4.87%,26.1%,5.32%,4.94%,2.29%,6.49%,3.32%,
2026-06-24 11:00:00,0.271 Mpa,0.122 Mpa,0.0278 Mpa,0.226 Mpa,0.179 Mpa,0.0154 Mpa,0.0619 Mpa,0.0515 Mpa,0.327 Mpa,,9.76%,3.97%,4.19%,12.3%,7.87%,2.70%,1.71%,3.02%,10.8%,
2026-06-24 13:00:00,0.818 Mpa,0.0781 Mpa,0.0526 Mpa,0.168 Mpa,0.196 Mpa,0.0721 Mpa,0.143 Mpa,1.10 Mpa,0.0459 Mpa,,24.7%,2.78%,3.80%,10.4%,8.94%,3.44%,4.21%,34.1%,1.48%,
2026-06-24 15:00:00,0.127 Mpa,0.0485 Mpa,0.0168 Mpa,0.177 Mpa,0.0859 Mpa,0.0543 Mpa,0.178 Mpa,0.0522 Mpa,0.230 Mpa,,5.76%,1.75%,3.68%,10.5%,5.11%,11.6%,4.87%,2.91%,8.07%,
2026-06-24 17:00:00,0.0964 Mpa,0.177 Mpa,0.141 Mpa,0.181 Mpa,0.175 Mpa,0.0310 Mpa,0.170 Mpa,0.716 Mpa,0.0521 Mpa,,4.32%,6.25%,7.47%,10.9%,9.45%,2.16%,4.66%,22.3%,1.92%,
2026-06-24 19:00:00,0.0975 Mpa,0.0981 Mpa,0.0660 Mpa,0.0387 Mpa,0.0359 Mpa,0.160 Mpa,0.138 Mpa,0.0399 Mpa,0.0148 Mpa,,6.62%,3.14%,3.88%,6.98%,41.7%,12.2%,3.89%,2.47%,1.58%,
2026-06-24 21:00:00,0.0759 Mpa,0.0782 Mpa,0.0403 Mpa,0.0630 Mpa,0.842 Mpa,0.0659 Mpa,0.142 Mpa,0.143 Mpa,0.0208 Mpa,,3.29%,2.98%,3.70%,7.48%,29.8%,3.26%,3.97%,5.53%,0.981%,
2026-06-24 23:00:00,0.0992 Mpa,0.274 Mpa,0.146 Mpa,0.0511 Mpa,0.113 Mpa,0.0731 Mpa,0.121 Mpa,0.0763 Mpa,0.446 Mpa,,4.26%,9.14%,6.04%,6.75%,5.52%,5.13%,3.34%,3.92%,14.9%,
2026-06-25 01:00:00,0.0569 Mpa,0.0984 Mpa,0.0474 Mpa,0.146 Mpa,0.143 Mpa,0.0740 Mpa,0.0711 Mpa,0.222 Mpa,0.0710 Mpa,,3.77%,3.43%,3.23%,12.0%,7.17%,6.52%,2.00%,8.75%,2.33%,
2026-06-25 03:00:00,0.143 Mpa,0.0492 Mpa,0.0281 Mpa,0.0244 Mpa,0.616 Mpa,0.0700 Mpa,0.285 Mpa,,0.0864 Mpa,,5.49%,1.90%,2.97%,6.28%,22.0%,13.0%,7.93%,,3.14%,
