"Time","P_FW - I38","P_FW - I39","P_FW - I40","P_FW - I41","P_FW - I42","P_FW - I43","P_FW - I44","P_FW - I47","P_FW - I48","%FW - I38","%FW - I39","%FW - I40","%FW - I41","%FW - I42","%FW - I43","%FW - I44","%FW - I47","%FW - I48"
2026-06-21 17:00:00,0.0411 Mpa,5.87 Mpa,0.478 Mpa,0.406 Mpa,,0.700 Mpa,0.0786 Mpa,0.592 Mpa,,2.72%,8.97%,11.1%,9.09%,,11.9%,0.706%,21.3%,
2026-06-21 19:00:00,0.0553 Mpa,6.10 Mpa,0.469 Mpa,0.228 Mpa,,0.260 Mpa,0.245 Mpa,0.259 Mpa,,2.15%,8.71%,11.1%,8.49%,,0.474%,5.54%,10.3%,
2026-06-21 21:00:00,0.0707 Mpa,6.10 Mpa,0.144 Mpa,0.246 Mpa,,0.297 Mpa,0.327 Mpa,2.06 Mpa,,3.05%,21.0%,1.63%,4.30%,,1.28%,8.40%,53.5%,
2026-06-21 23:00:00,0.0681 Mpa,6.10 Mpa,0.787 Mpa,0.129 Mpa,0.293 Mpa,0.247 Mpa,0.173 Mpa,0.562 Mpa,,1.81%,6.11%,19.5%,1.21%,7.66%,0.249%,3.60%,10.9%,
2026-06-22 01:00:00,0.422 Mpa,6.10 Mpa,0.586 Mpa,0.184 Mpa,0.00142 Mpa,0.358 Mpa,0.228 Mpa,0.266 Mpa,,11.0%,6.06%,14.4%,2.49%,0.0407%,13.3%,4.98%,7.55%,
2026-06-22 03:00:00,0.220 Mpa,3.90 Mpa,0.372 Mpa,0.274 Mpa,3.74 Mpa,0.334 Mpa,0.291 Mpa,0.282 Mpa,,5.90%,22.1%,9.50%,5.44%,96.4%,2.56%,6.43%,4.26%,
2026-06-22 05:00:00,0.180 Mpa,0.362 Mpa,0.472 Mpa,0.280 Mpa,0.430 Mpa,0.418 Mpa,0.146 Mpa,0.775 Mpa,,4.55%,13.3%,11.0%,6.58%,24.4%,7.34%,2.42%,17.1%,
2026-06-22 07:00:00,0.141 Mpa,0.164 Mpa,0.288 Mpa,0.355 Mpa,0.247 Mpa,0.670 Mpa,0.139 Mpa,0.513 Mpa,,3.50%,7.09%,5.61%,7.49%,13.2%,14.6%,6.39%,9.48%,
2026-06-22 09:00:00,0.509 Mpa,0.153 Mpa,0.620 Mpa,0.141 Mpa,0.0884 Mpa,0.657 Mpa,0.170 Mpa,0.463 Mpa,,13.4%,4.50%,15.2%,1.23%,49.4%,12.1%,3.78%,10.3%,
2026-06-22 11:00:00,0.950 Mpa,0.224 Mpa,0.289 Mpa,0.159 Mpa,0.244 Mpa,0.452 Mpa,0.137 Mpa,0.523 Mpa,,26.5%,7.47%,6.29%,1.76%,7.46%,6.99%,4.33%,19.8%,
2026-06-22 13:00:00,0.622 Mpa,0.278 Mpa,0.183 Mpa,0.199 Mpa,1.16 Mpa,,0.297 Mpa,0.903 Mpa,,18.8%,11.2%,2.95%,4.16%,48.6%,,7.22%,23.1%,
2026-06-22 15:00:00,0.618 Mpa,0.165 Mpa,0.145 Mpa,0.171 Mpa,0.0358 Mpa,,0.108 Mpa,0.508 Mpa,,19.3%,5.60%,1.98%,2.50%,36.5%,,5.66%,12.6%,
2026-06-22 17:00:00,0.113 Mpa,0.132 Mpa,0.434 Mpa,0.150 Mpa,0.0451 Mpa,,0.153 Mpa,0.323 Mpa,,5.50%,7.40%,9.86%,7.11%,1.53%,,2.97%,8.66%,
2026-06-22 19:00:00,0.0535 Mpa,0.468 Mpa,0.165 Mpa,0.168 Mpa,0.0495 Mpa,,0.383 Mpa,0.407 Mpa,,4.81%,16.2%,2.80%,2.42%,3.28%,,9.71%,8.13%,
2026-06-22 21:00:00,0.0416 Mpa,0.347 Mpa,0.507 Mpa,0.215 Mpa,0.0226 Mpa,0.157 Mpa,0.267 Mpa,0.278 Mpa,,5.15%,12.4%,12.5%,3.60%,0.572%,0.0517%,5.69%,3.29%,
2026-06-22 23:00:00,0.0566 Mpa,0.385 Mpa,0.255 Mpa,0.154 Mpa,0.0234 Mpa,,0.138 Mpa,0.247 Mpa,,5.00%,10.4%,5.69%,1.96%,0.780%,,1.98%,2.09%,
2026-06-23 01:00:00,0.129 Mpa,0.830 Mpa,0.249 Mpa,0.206 Mpa,0.0421 Mpa,,0.209 Mpa,0.214 Mpa,,6.38%,35.9%,5.04%,3.62%,2.41%,,4.15%,3.62%,
2026-06-23 03:00:00,0.280 Mpa,3.40 Mpa,0.424 Mpa,1.10 Mpa,0.0302 Mpa,,0.542 Mpa,0.522 Mpa,,8.07%,94.5%,9.93%,27.8%,1.66%,,14.2%,11.0%,
2026-06-23 05:00:00,0.0663 Mpa,0.447 Mpa,0.452 Mpa,0.400 Mpa,0.0829 Mpa,,0.191 Mpa,0.329 Mpa,,9.41%,23.4%,10.6%,8.98%,2.21%,,3.64%,15.9%,
2026-06-23 07:00:00,0.108 Mpa,,0.287 Mpa,0.291 Mpa,0.0727 Mpa,,0.537 Mpa,0.260 Mpa,,5.65%,,10.5%,5.79%,2.07%,,13.9%,49.8%,
2026-06-23 09:00:00,0.101 Mpa,0.230 Mpa,0.197 Mpa,1.26 Mpa,0.0827 Mpa,,1.18 Mpa,0.286 Mpa,,5.25%,13.8%,2.92%,32.6%,2.74%,,33.6%,9.62%,
2026-06-23 11:00:00,0.698 Mpa,,0.141 Mpa,1.06 Mpa,0.0762 Mpa,0.154 Mpa,0.192 Mpa,0.200 Mpa,,18.0%,,7.94%,27.0%,2.12%,0%,4.46%,16.9%,
