"Time","P_BW - I38","P_BW - I39","P_BW - I40","P_BW - I41","P_BW - I42","P_BW - I43","P_BW - I44","P_BW - I47","P_BW - I48","%BW - I38","%BW - I39","%BW - I40","%BW - I41","%BW - I42","%BW - I43","%BW - I44","%BW - I47","%BW - I48"
2026-06-22 15:00:00,0.125 Mpa,0.0839 Mpa,0.187 Mpa,0.176 Mpa,0.0351 Mpa,,0.143 Mpa,1.06 Mpa,,3.29%,9.25%,3.45%,2.22%,2.20%,,3.90%,27.2%,
2026-06-22 17:00:00,0.105 Mpa,0.0573 Mpa,0.154 Mpa,0.178 Mpa,0.0586 Mpa,,0.167 Mpa,0.284 Mpa,,3.45%,6.55%,2.09%,2.07%,0.766%,,7.72%,3.00%,
2026-06-22 19:00:00,0.0979 Mpa,0.188 Mpa,0.159 Mpa,0.213 Mpa,0.0603 Mpa,,0.241 Mpa,0.358 Mpa,,1.99%,10.5%,2.20%,3.08%,0.849%,,7.97%,5.14%,
2026-06-22 21:00:00,0.0855 Mpa,0.256 Mpa,0.175 Mpa,0.198 Mpa,0.0856 Mpa,0.180 Mpa,0.184 Mpa,0.307 Mpa,,1.76%,11.4%,2.85%,2.71%,1.44%,0%,7.78%,4.36%,
2026-06-22 23:00:00,0.0956 Mpa,0.228 Mpa,0.244 Mpa,0.220 Mpa,0.102 Mpa,,0.180 Mpa,0.276 Mpa,,2.10%,14.7%,4.77%,3.48%,2.06%,,7.64%,3.68%,
2026-06-23 01:00:00,0.202 Mpa,0.0796 Mpa,0.214 Mpa,0.235 Mpa,0.0518 Mpa,,0.217 Mpa,0.203 Mpa,,4.81%,5.04%,3.97%,3.83%,0.949%,,7.87%,2.42%,
2026-06-23 03:00:00,0.196 Mpa,0.0620 Mpa,0.148 Mpa,0.190 Mpa,0.0291 Mpa,,0.213 Mpa,0.401 Mpa,,5.84%,1.02%,1.91%,2.46%,0.174%,,8.20%,8.17%,
2026-06-23 05:00:00,0.0992 Mpa,0.0529 Mpa,0.170 Mpa,0.236 Mpa,0.114 Mpa,,0.159 Mpa,0.244 Mpa,,2.79%,1.88%,2.95%,3.79%,2.26%,,6.20%,2.25%,
2026-06-23 07:00:00,0.0714 Mpa,,0.270 Mpa,0.234 Mpa,0.110 Mpa,,0.187 Mpa,0.231 Mpa,,2.34%,,5.92%,3.43%,2.23%,,6.42%,2.08%,
2026-06-23 09:00:00,0.137 Mpa,0.0914 Mpa,0.153 Mpa,0.250 Mpa,0.0860 Mpa,,0.209 Mpa,0.286 Mpa,,5.12%,3.36%,1.87%,4.51%,1.91%,,6.47%,3.00%,
2026-06-23 11:00:00,0.224 Mpa,,0.142 Mpa,0.294 Mpa,0.0561 Mpa,0.235 Mpa,0.186 Mpa,0.225 Mpa,,8.24%,,1.84%,5.18%,0.707%,3.85%,7.91%,2.25%,
2026-06-23 13:00:00,0.221 Mpa,,0.110 Mpa,0.265 Mpa,0.0451 Mpa,,0.164 Mpa,0.161 Mpa,,7.39%,,1.08%,4.86%,0.480%,,7.16%,0.00487%,
2026-06-23 15:00:00,0.0832 Mpa,0.424 Mpa,0.156 Mpa,0.196 Mpa,0.501 Mpa,0.144 Mpa,0.301 Mpa,0.350 Mpa,,2.00%,13.7%,2.05%,3.04%,14.0%,2.40%,9.95%,5.24%,
2026-06-23 17:00:00,0.112 Mpa,,0.206 Mpa,0.172 Mpa,0.156 Mpa,,0.134 Mpa,0.354 Mpa,,4.28%,,3.63%,1.76%,3.59%,,6.27%,4.95%,
2026-06-23 19:00:00,0.0895 Mpa,,0.150 Mpa,0.197 Mpa,0.0631 Mpa,,0.0240 Mpa,0.273 Mpa,,3.34%,,1.78%,2.39%,0.866%,,2.54%,2.69%,
2026-06-23 21:00:00,0.160 Mpa,,0.248 Mpa,0.294 Mpa,0.137 Mpa,,0.263 Mpa,0.311 Mpa,,4.53%,,4.48%,6.17%,3.25%,,8.82%,3.93%,
2026-06-23 23:00:00,0.0920 Mpa,0.424 Mpa,0.207 Mpa,0.350 Mpa,0.0764 Mpa,0.148 Mpa,0.177 Mpa,0.356 Mpa,,3.05%,6.15%,3.62%,6.50%,1.25%,2.11%,5.17%,5.50%,
2026-06-24 01:00:00,0.0911 Mpa,0.431 Mpa,0.191 Mpa,0.333 Mpa,0.0519 Mpa,,0.0891 Mpa,0.389 Mpa,,2.99%,9.28%,2.89%,6.08%,0.713%,,1.67%,6.35%,
2026-06-24 03:00:00,0.175 Mpa,,0.223 Mpa,0.261 Mpa,0.159 Mpa,,0.0463 Mpa,0.302 Mpa,,5.58%,,3.66%,4.53%,3.77%,,0.249%,3.75%,
2026-06-24 05:00:00,0.0662 Mpa,,0.194 Mpa,0.380 Mpa,0.182 Mpa,,,0.286 Mpa,,3.46%,,3.32%,7.43%,4.23%,,,3.18%,
2026-06-24 07:00:00,0.124 Mpa,,0.295 Mpa,0.287 Mpa,0.222 Mpa,,,0.310 Mpa,,4.84%,,6.81%,4.99%,5.82%,,,3.46%,
2026-06-24 09:00:00,0.329 Mpa,,0.201 Mpa,0.595 Mpa,0.120 Mpa,,,0.278 Mpa,,8.56%,,4.23%,13.0%,3.39%,,,3.00%,
2026-06-24 11:00:00,0.167 Mpa,,0.167 Mpa,0.309 Mpa,0.0604 Mpa,0.147 Mpa,0.0470 Mpa,0.259 Mpa,,4.18%,,3.55%,5.89%,1.21%,0.0150%,3.33%,2.49%,
