"Time","P_FW - I45","P_FW - I49","P_FW - I50","P_FW - I52","P_FW - I53","P_FW - I54","P_FW - I55","P_FW - I56","P_FW - I57","P_FW - I58"
2026-06-27 19:00:00,0.0803 Mpa,,0.139 Mpa,,0.0478 Mpa,0.130 Mpa,0.0922 Mpa,0.0942 Mpa,0.0574 Mpa,
2026-06-27 22:00:00,0.102 Mpa,0.0573 Mpa,0.0798 Mpa,0.0773 Mpa,0.0639 Mpa,0.126 Mpa,0.115 Mpa,0.128 Mpa,0.111 Mpa,
2026-06-28 01:00:00,0.0575 Mpa,0.0176 Mpa,0.0428 Mpa,,0.0772 Mpa,0.100 Mpa,0.197 Mpa,0.210 Mpa,0.0650 Mpa,
2026-06-28 04:00:00,0.0860 Mpa,0.120 Mpa,0.0351 Mpa,,0.0798 Mpa,0.149 Mpa,0.0767 Mpa,0.152 Mpa,0.116 Mpa,
2026-06-28 07:00:00,0.0888 Mpa,0.0841 Mpa,0.141 Mpa,,0.195 Mpa,0.205 Mpa,0.102 Mpa,0.119 Mpa,0.0969 Mpa,
2026-06-28 10:00:00,0.0708 Mpa,0.158 Mpa,0.0614 Mpa,,0.126 Mpa,0.187 Mpa,0.0478 Mpa,0.141 Mpa,0.0575 Mpa,
2026-06-28 13:00:00,0.0722 Mpa,0.0262 Mpa,0.0970 Mpa,,0.0611 Mpa,0.0929 Mpa,0.154 Mpa,0.383 Mpa,0.0581 Mpa,
2026-06-28 16:00:00,0.206 Mpa,0.123 Mpa,0.105 Mpa,,0.0586 Mpa,0.0894 Mpa,0.237 Mpa,0.119 Mpa,0.0821 Mpa,
2026-06-28 19:00:00,0.202 Mpa,0.128 Mpa,0.0727 Mpa,,0.201 Mpa,0.256 Mpa,0.0748 Mpa,0.167 Mpa,0.0765 Mpa,
2026-06-28 22:00:00,0.108 Mpa,0.299 Mpa,0.0385 Mpa,,0.117 Mpa,0.162 Mpa,0.0678 Mpa,0.146 Mpa,0.0452 Mpa,
2026-06-29 01:00:00,0.198 Mpa,0.114 Mpa,0.184 Mpa,0.0174 Mpa,0.0915 Mpa,0.0974 Mpa,0.108 Mpa,0.133 Mpa,0.104 Mpa,
2026-06-29 04:00:00,0.144 Mpa,0.101 Mpa,0.0259 Mpa,0.0536 Mpa,0.101 Mpa,0.101 Mpa,0.0779 Mpa,0.118 Mpa,0.138 Mpa,
2026-06-29 07:00:00,0.105 Mpa,0.103 Mpa,0.0956 Mpa,0.0416 Mpa,0.0847 Mpa,0.179 Mpa,0.0777 Mpa,0.202 Mpa,0.181 Mpa,
2026-06-29 10:00:00,0.0893 Mpa,0.331 Mpa,0.0691 Mpa,0.0715 Mpa,0.0947 Mpa,0.413 Mpa,0.0376 Mpa,0.267 Mpa,0.0840 Mpa,
