"Time","P_FW - I38","P_FW - I39","P_FW - I40","P_FW - I41","P_FW - I42","P_FW - I43","P_FW - I44","P_FW - I47","P_FW - I48"
2026-06-26 04:00:00,0.138 Mpa,,0.0499 Mpa,0.155 Mpa,0.0650 Mpa,0.299 Mpa,0.411 Mpa,0.292 Mpa,
2026-06-26 07:00:00,0.186 Mpa,,,0.291 Mpa,0.155 Mpa,0.316 Mpa,0.219 Mpa,0.300 Mpa,
2026-06-26 10:00:00,0.0613 Mpa,,,0.349 Mpa,0.0983 Mpa,0.352 Mpa,0.233 Mpa,0.445 Mpa,
2026-06-26 13:00:00,0.106 Mpa,0.0426 Mpa,,0.446 Mpa,0.0350 Mpa,0.920 Mpa,0.529 Mpa,0.313 Mpa,
2026-06-26 16:00:00,0.0429 Mpa,0.00619 Mpa,,0.246 Mpa,0.164 Mpa,0.718 Mpa,0.327 Mpa,0.426 Mpa,
2026-06-26 19:00:00,0.118 Mpa,0.0689 Mpa,,0.137 Mpa,0.0632 Mpa,0.290 Mpa,0.222 Mpa,0.325 Mpa,
2026-06-26 22:00:00,0.208 Mpa,0.00299 Mpa,0.0190 Mpa,0.346 Mpa,0.0454 Mpa,0.717 Mpa,0.174 Mpa,0.481 Mpa,
2026-06-27 01:00:00,0.107 Mpa,0.144 Mpa,,0.366 Mpa,0.0503 Mpa,0.368 Mpa,0.0413 Mpa,0.465 Mpa,
2026-06-27 04:00:00,0.0338 Mpa,,,0.187 Mpa,0.123 Mpa,0.283 Mpa,0.340 Mpa,0.453 Mpa,
2026-06-27 07:00:00,0.171 Mpa,,,0.212 Mpa,0.0481 Mpa,0.245 Mpa,0.364 Mpa,0.343 Mpa,
2026-06-27 10:00:00,0.0635 Mpa,,,0.128 Mpa,0.0737 Mpa,0.441 Mpa,0.243 Mpa,0.366 Mpa,
2026-06-27 13:00:00,0.306 Mpa,,0.0240 Mpa,0.371 Mpa,0.603 Mpa,0.377 Mpa,0.340 Mpa,0.327 Mpa,
2026-06-27 16:00:00,0.229 Mpa,,0.182 Mpa,0.376 Mpa,0.0871 Mpa,0.392 Mpa,0.195 Mpa,0.230 Mpa,
2026-06-27 19:00:00,1.14 Mpa,,0.425 Mpa,0.329 Mpa,0.306 Mpa,0.644 Mpa,0.559 Mpa,0.422 Mpa,
2026-06-27 22:00:00,0.246 Mpa,,0.389 Mpa,0.624 Mpa,0.0640 Mpa,0.457 Mpa,0.263 Mpa,0.252 Mpa,
2026-06-28 01:00:00,0.428 Mpa,,0.129 Mpa,0.280 Mpa,0.0395 Mpa,0.336 Mpa,0.198 Mpa,0.340 Mpa,
2026-06-28 04:00:00,0.118 Mpa,,0.128 Mpa,0.203 Mpa,0.130 Mpa,0.292 Mpa,0.269 Mpa,0.453 Mpa,
2026-06-28 07:00:00,0.0809 Mpa,,0.327 Mpa,0.249 Mpa,0.0815 Mpa,0.265 Mpa,0.311 Mpa,0.346 Mpa,
2026-06-28 10:00:00,0.150 Mpa,,0.362 Mpa,0.167 Mpa,0.368 Mpa,0.250 Mpa,0.263 Mpa,0.568 Mpa,
2026-06-28 13:00:00,0.294 Mpa,,0.218 Mpa,0.0325 Mpa,0.116 Mpa,0.442 Mpa,0.709 Mpa,0.300 Mpa,
2026-06-28 16:00:00,0.225 Mpa,,0.127 Mpa,0.249 Mpa,0.156 Mpa,0.327 Mpa,0.561 Mpa,0.270 Mpa,
2026-06-28 19:00:00,0.669 Mpa,,0.140 Mpa,0.150 Mpa,0.391 Mpa,0.412 Mpa,0.570 Mpa,0.385 Mpa,
2026-06-28 22:00:00,0.323 Mpa,,0.226 Mpa,0.202 Mpa,0.171 Mpa,0.290 Mpa,1.24 Mpa,0.324 Mpa,
2026-06-29 01:00:00,0.101 Mpa,,0.260 Mpa,0.225 Mpa,0.0819 Mpa,0.299 Mpa,0.824 Mpa,0.731 Mpa,
2026-06-29 04:00:00,0.113 Mpa,,0.203 Mpa,0.172 Mpa,0.108 Mpa,0.227 Mpa,0.465 Mpa,0.378 Mpa,
2026-06-29 07:00:00,0.0526 Mpa,,0.231 Mpa,0.193 Mpa,0.450 Mpa,0.225 Mpa,0.437 Mpa,0.365 Mpa,
2026-06-29 10:00:00,0.0622 Mpa,,0.335 Mpa,0.147 Mpa,0.157 Mpa,0.227 Mpa,0.532 Mpa,0.494 Mpa,
2026-06-29 13:00:00,0.0618 Mpa,,0.204 Mpa,0.188 Mpa,0.157 Mpa,0.241 Mpa,0.164 Mpa,0.281 Mpa,
2026-06-29 16:00:00,0.172 Mpa,,0.322 Mpa,0.147 Mpa,0.214 Mpa,0.299 Mpa,0.200 Mpa,0.296 Mpa,
2026-06-29 19:00:00,0.228 Mpa,,0.392 Mpa,0.188 Mpa,0.327 Mpa,0.325 Mpa,0.816 Mpa,0.478 Mpa,
2026-06-29 22:00:00,0.528 Mpa,,0.265 Mpa,0.138 Mpa,0.0858 Mpa,0.231 Mpa,1.05 Mpa,0.392 Mpa,
2026-06-30 01:00:00,0.224 Mpa,,0.225 Mpa,0.131 Mpa,0.0989 Mpa,0.325 Mpa,0.509 Mpa,0.510 Mpa,
2026-06-30 04:00:00,0.0459 Mpa,,0.249 Mpa,0.132 Mpa,0.0867 Mpa,0.254 Mpa,0.430 Mpa,0.335 Mpa,
2026-06-30 07:00:00,0.237 Mpa,,0.552 Mpa,0.299 Mpa,0.0877 Mpa,0.331 Mpa,0.290 Mpa,0.344 Mpa,
2026-06-30 10:00:00,0.188 Mpa,,1.33 Mpa,0.259 Mpa,0.0450 Mpa,0.400 Mpa,0.399 Mpa,0.416 Mpa,
2026-06-30 13:00:00,0.148 Mpa,,0.153 Mpa,0.123 Mpa,0.352 Mpa,0.319 Mpa,0.249 Mpa,0.356 Mpa,
2026-06-30 16:00:00,0.132 Mpa,,0.240 Mpa,0.159 Mpa,0.101 Mpa,0.247 Mpa,0.276 Mpa,0.317 Mpa,
2026-06-30 19:00:00,0.203 Mpa,,0.460 Mpa,0.117 Mpa,0.354 Mpa,0.233 Mpa,0.862 Mpa,0.335 Mpa,
2026-06-30 22:00:00,0.161 Mpa,,0.642 Mpa,0.126 Mpa,0.227 Mpa,0.251 Mpa,0.936 Mpa,1.79 Mpa,
2026-07-01 01:00:00,0.217 Mpa,,0.203 Mpa,0.218 Mpa,0.210 Mpa,0.336 Mpa,0.297 Mpa,,
2026-07-01 04:00:00,0.137 Mpa,,0.118 Mpa,0.250 Mpa,0.158 Mpa,0.253 Mpa,0.198 Mpa,,
2026-07-01 07:00:00,0.261 Mpa,,0.663 Mpa,0.141 Mpa,0.229 Mpa,0.346 Mpa,0.223 Mpa,,
2026-07-01 10:00:00,0.262 Mpa,,0.212 Mpa,0.260 Mpa,0.0711 Mpa,0.529 Mpa,0.302 Mpa,0.877 Mpa,
2026-07-01 13:00:00,0.0793 Mpa,,0.197 Mpa,0.230 Mpa,0.128 Mpa,0.348 Mpa,0.357 Mpa,,
2026-07-01 16:00:00,0.0964 Mpa,,0.130 Mpa,0.160 Mpa,0.0933 Mpa,0.327 Mpa,0.348 Mpa,,
2026-07-01 19:00:00,0.0347 Mpa,,0.145 Mpa,0.439 Mpa,0.308 Mpa,0.262 Mpa,0.220 Mpa,0.507 Mpa,
2026-07-01 22:00:00,0.120 Mpa,,0.179 Mpa,0.192 Mpa,0.162 Mpa,0.278 Mpa,0.378 Mpa,,
2026-07-02 01:00:00,0.244 Mpa,,0.490 Mpa,0.339 Mpa,0.575 Mpa,0.465 Mpa,0.241 Mpa,,
2026-07-02 04:00:00,0.0565 Mpa,,0.158 Mpa,0.132 Mpa,0.155 Mpa,0.238 Mpa,0.736 Mpa,,
2026-07-02 07:00:00,0.270 Mpa,,0.112 Mpa,0.135 Mpa,0.263 Mpa,0.276 Mpa,0.685 Mpa,,
2026-07-02 10:00:00,0.126 Mpa,,0.188 Mpa,0.112 Mpa,0.0360 Mpa,0.269 Mpa,0.175 Mpa,,
2026-07-02 13:00:00,0.0822 Mpa,,0.0757 Mpa,0.173 Mpa,0.296 Mpa,0.270 Mpa,0.252 Mpa,,
2026-07-02 16:00:00,0.0811 Mpa,,0.468 Mpa,0.755 Mpa,0.0910 Mpa,0.341 Mpa,0.189 Mpa,,
2026-07-02 19:00:00,0.271 Mpa,,0.219 Mpa,0.219 Mpa,0.110 Mpa,0.350 Mpa,0.430 Mpa,,
2026-07-02 22:00:00,0.119 Mpa,,0.166 Mpa,,0.107 Mpa,0.291 Mpa,0.309 Mpa,,
2026-07-03 01:00:00,0.402 Mpa,,0.114 Mpa,0.0480 Mpa,0.149 Mpa,0.649 Mpa,0.522 Mpa,,
2026-07-03 04:00:00,0.191 Mpa,,0.112 Mpa,0.303 Mpa,0.180 Mpa,0.788 Mpa,0.303 Mpa,,
2026-07-03 07:00:00,0.217 Mpa,,0.223 Mpa,0.437 Mpa,0.0890 Mpa,0.459 Mpa,0.235 Mpa,,
2026-07-03 10:00:00,0.203 Mpa,,0.136 Mpa,0.153 Mpa,0.152 Mpa,0.715 Mpa,0.356 Mpa,,
2026-07-03 13:00:00,0.0713 Mpa,,0.164 Mpa,0.357 Mpa,0.269 Mpa,1.000 Mpa,0.376 Mpa,,
2026-07-03 16:00:00,0.173 Mpa,,0.146 Mpa,0.187 Mpa,0.165 Mpa,0.398 Mpa,0.240 Mpa,,
2026-07-03 19:00:00,0.0217 Mpa,,0.247 Mpa,0.227 Mpa,0.213 Mpa,0.419 Mpa,0.288 Mpa,,
2026-07-03 22:00:00,0.139 Mpa,,0.124 Mpa,0.211 Mpa,0.0545 Mpa,0.672 Mpa,0.658 Mpa,,
2026-07-04 01:00:00,0.000850 Mpa,,0.222 Mpa,0.281 Mpa,0.187 Mpa,0.416 Mpa,0.311 Mpa,,
2026-07-04 04:00:00,,,0.160 Mpa,0.168 Mpa,0.102 Mpa,0.611 Mpa,0.327 Mpa,,
