"Time","%_FW - I38","%_FW - I39","%_FW - I40","%_FW - I41","%_FW - I42","%_FW - I43","%_FW - I44","%_FW - I47","%_FW - I48"
2026-08-04 01:00:00,5.78%,22.1%,4.65%,5.10%,,5.73%,5.03%,,2.76%
2026-08-04 04:00:00,22.2%,23.0%,3.34%,6.25%,1.26%,0.0948%,3.23%,,3.45%
2026-08-04 07:00:00,15.1%,13.7%,6.88%,6.71%,8.32%,0.169%,5.38%,,2.95%
2026-08-04 10:00:00,10.9%,11.7%,3.04%,8.87%,3.77%,,4.79%,,3.45%
2026-08-04 13:00:00,12.2%,8.10%,2.80%,8.58%,3.81%,,7.49%,,3.15%
2026-08-04 16:00:00,24.6%,10.6%,8.15%,2.84%,19.2%,,8.31%,,3.04%
2026-08-04 19:00:00,27.8%,11.1%,3.68%,4.24%,42.7%,1.04%,1.49%,,8.45%
2026-08-04 22:00:00,8.76%,17.3%,5.17%,7.10%,3.60%,,1.76%,,3.87%
2026-08-05 01:00:00,6.10%,7.14%,4.24%,5.83%,0.0293%,,3.61%,,7.90%
2026-08-05 04:00:00,12.7%,12.8%,6.45%,3.73%,5.03%,,14.7%,,19.6%
2026-08-05 07:00:00,1.71%,6.24%,0.827%,4.57%,7.21%,,2.35%,,51.1%
2026-08-05 10:00:00,0.407%,10.9%,6.52%,3.35%,6.10%,0.0849%,5.25%,,9.70%
2026-08-05 13:00:00,3.55%,9.23%,1.60%,3.36%,3.92%,,13.3%,,7.79%
2026-08-05 16:00:00,4.24%,10.1%,5.54%,3.72%,6.24%,1.25%,5.09%,,9.54%
2026-08-05 19:00:00,4.77%,9.33%,1.27%,2.95%,14.9%,3.80%,10.9%,,13.2%
2026-08-05 22:00:00,3.82%,12.1%,5.68%,2.97%,1.97%,0.115%,6.93%,,10.3%
2026-08-06 01:00:00,14.2%,10.0%,8.02%,2.53%,2.17%,27.1%,2.13%,,8.25%
2026-08-06 04:00:00,26.4%,12.6%,7.30%,8.63%,2.90%,45.0%,1.53%,,12.2%
2026-08-06 07:00:00,3.77%,13.8%,7.73%,4.88%,3.13%,41.1%,5.13%,,9.99%
2026-08-06 10:00:00,5.73%,11.2%,4.70%,9.88%,1.57%,22.9%,7.75%,0%,23.8%
2026-08-06 13:00:00,3.59%,6.66%,13.1%,5.57%,2.05%,7.27%,2.26%,,13.5%
2026-08-06 16:00:00,2.60%,4.69%,5.97%,3.11%,7.73%,6.41%,3.65%,,8.57%
2026-08-06 19:00:00,3.67%,4.87%,3.03%,2.13%,2.82%,2.06%,3.51%,,19.0%
2026-08-06 22:00:00,6.82%,7.40%,10.6%,3.71%,3.20%,3.90%,2.97%,,
2026-08-07 01:00:00,7.80%,6.66%,10.2%,17.1%,3.78%,4.98%,17.4%,,15.8%
2026-08-07 04:00:00,8.16%,14.8%,3.73%,2.77%,9.26%,3.28%,3.80%,,4.30%
2026-08-07 07:00:00,6.35%,11.0%,3.16%,5.99%,5.03%,4.06%,4.59%,,9.48%
2026-08-07 10:00:00,6.56%,6.97%,1.36%,4.53%,7.50%,7.09%,4.24%,,10.3%
2026-08-07 13:00:00,5.63%,6.45%,3.93%,20.1%,24.7%,3.20%,2.94%,,12.7%
2026-08-07 16:00:00,4.58%,8.78%,4.05%,7.64%,5.97%,2.69%,5.56%,,6.71%
2026-08-07 19:00:00,2.38%,6.14%,7.82%,5.67%,8.26%,1.44%,3.07%,,13.5%
2026-08-07 22:00:00,3.14%,9.12%,7.50%,10.3%,5.68%,1.91%,12.6%,,8.46%
2026-08-08 01:00:00,4.82%,5.77%,6.87%,3.27%,9.64%,0.947%,27.0%,,8.18%
2026-08-08 04:00:00,4.42%,4.54%,8.02%,5.52%,4.16%,1.90%,14.5%,,5.22%
2026-08-08 07:00:00,19.7%,11.4%,1.83%,2.22%,1.48%,2.90%,13.6%,,2.56%
2026-08-08 10:00:00,3.66%,12.3%,3.13%,7.08%,2.90%,2.60%,4.30%,,4.69%
2026-08-08 13:00:00,10.5%,6.11%,2.06%,37.7%,0.718%,6.26%,5.06%,,6.21%
2026-08-08 16:00:00,4.47%,37.7%,6.13%,6.80%,6.87%,2.35%,6.92%,,3.72%
2026-08-08 19:00:00,8.20%,2.30%,6.10%,5.35%,4.93%,3.64%,13.6%,,2.71%
2026-08-08 22:00:00,11.0%,22.5%,4.35%,5.83%,3.33%,4.60%,3.10%,,9.15%
2026-08-09 01:00:00,9.99%,4.78%,15.6%,3.38%,0.632%,6.00%,12.3%,,4.62%
2026-08-09 04:00:00,5.31%,1.66%,11.4%,5.48%,2.60%,1.54%,3.21%,,6.57%
2026-08-09 07:00:00,3.35%,2.87%,8.75%,2.66%,6.04%,2.66%,10.2%,87.3%,0.439%
2026-08-09 10:00:00,2.05%,3.01%,0.957%,5.27%,2.64%,5.43%,2.69%,,13.0%
2026-08-09 13:00:00,1.77%,5.44%,13.0%,7.05%,5.06%,1.63%,4.83%,,3.25%
2026-08-09 16:00:00,1.85%,4.76%,9.78%,5.22%,3.43%,7.36%,9.19%,,3.13%
2026-08-09 19:00:00,6.77%,11.0%,2.51%,4.00%,45.4%,9.27%,5.43%,,1.74%
2026-08-09 22:00:00,3.92%,18.5%,3.70%,6.17%,17.7%,9.48%,3.91%,,6.11%
2026-08-10 01:00:00,4.17%,13.0%,2.04%,2.65%,4.05%,5.66%,2.19%,,5.04%
2026-08-10 04:00:00,4.61%,1.47%,2.74%,3.06%,60.8%,3.73%,15.2%,,9.33%
2026-08-10 07:00:00,4.93%,2.15%,8.23%,11.2%,19.2%,3.39%,16.8%,,2.28%
2026-08-10 10:00:00,4.44%,25.2%,4.61%,2.19%,6.92%,6.05%,5.85%,,2.73%
2026-08-10 13:00:00,6.74%,3.81%,5.11%,4.63%,3.54%,5.40%,6.50%,,2.63%
2026-08-10 16:00:00,4.04%,5.47%,2.13%,12.2%,27.2%,2.36%,2.55%,,14.6%
2026-08-10 19:00:00,4.33%,4.13%,2.36%,5.32%,12.9%,10.7%,2.90%,,15.0%
2026-08-10 22:00:00,3.31%,5.70%,5.56%,4.63%,2.48%,6.84%,5.38%,,16.1%
2026-08-11 01:00:00,6.84%,4.66%,7.49%,2.80%,31.6%,2.69%,8.06%,,5.68%
2026-08-11 04:00:00,7.01%,3.24%,6.50%,19.9%,6.45%,3.49%,15.6%,,2.91%
2026-08-11 07:00:00,3.56%,6.26%,2.54%,3.81%,0.131%,2.13%,4.47%,,18.1%
2026-08-11 10:00:00,1.03%,11.7%,5.62%,4.81%,5.92%,3.87%,2.74%,,19.1%
2026-08-11 13:00:00,3.84%,7.10%,0.00377%,6.39%,5.33%,1.76%,2.04%,,18.8%
2026-08-11 16:00:00,4.56%,27.5%,7.70%,10.1%,1.79%,1.83%,20.7%,,5.92%
2026-08-11 19:00:00,7.02%,24.0%,1.68%,20.3%,2.09%,3.83%,6.87%,,0.357%
2026-08-11 22:00:00,3.82%,2.27%,1.16%,7.12%,3.67%,2.80%,2.55%,,5.73%
2026-08-12 01:00:00,9.29%,1.63%,0.683%,12.9%,3.12%,1.92%,9.74%,,16.8%
2026-08-12 04:00:00,6.70%,3.88%,4.29%,7.04%,5.49%,4.02%,3.94%,,12.9%
2026-08-12 07:00:00,3.14%,2.33%,5.25%,19.0%,6.87%,1.67%,6.75%,,4.78%
2026-08-12 10:00:00,2.35%,2.88%,3.24%,32.2%,1.05%,1.86%,2.66%,,3.35%
2026-08-12 13:00:00,9.64%,7.60%,0.708%,33.7%,0.539%,1.92%,8.68%,,7.90%
2026-08-12 16:00:00,9.55%,3.29%,1.23%,,5.88%,1.02%,4.65%,,3.32%
2026-08-12 19:00:00,2.24%,4.25%,2.44%,,35.8%,3.29%,4.64%,,3.42%
2026-08-12 22:00:00,5.65%,9.21%,1.76%,2.13%,,2.20%,9.53%,,3.16%
2026-08-13 01:00:00,11.3%,4.63%,8.09%,1.31%,,4.11%,2.31%,,3.69%
2026-08-13 04:00:00,,2.47%,5.08%,,,4.88%,1.84%,,2.87%
2026-08-13 07:00:00,,2.85%,14.8%,,10.1%,9.01%,7.66%,,5.02%
2026-08-13 10:00:00,5.22%,10.4%,15.1%,,6.84%,2.41%,16.1%,,10.2%
2026-08-13 13:00:00,,9.22%,5.17%,,8.36%,2.56%,3.03%,,6.84%
2026-08-13 16:00:00,,9.96%,2.45%,,12.0%,1.87%,4.92%,,
2026-08-13 19:00:00,,3.75%,11.0%,,17.7%,0.985%,13.0%,,1.77%
2026-08-13 22:00:00,,8.60%,1.95%,,,4.44%,12.0%,,10.2%
2026-08-14 01:00:00,,13.5%,3.63%,1.25%,,0.739%,5.37%,,9.86%
2026-08-14 04:00:00,,9.10%,4.55%,,,3.92%,17.2%,,12.5%
2026-08-14 07:00:00,,23.8%,6.43%,,5.50%,0.549%,4.36%,,13.3%
2026-08-14 10:00:00,,9.88%,1.67%,,9.16%,0.637%,4.82%,,16.5%
2026-08-14 13:00:00,,14.9%,8.39%,0.403%,16.1%,4.04%,11.3%,,9.09%
2026-08-14 16:00:00,,31.0%,2.60%,,7.88%,3.20%,5.16%,,10.7%
2026-08-14 19:00:00,,19.2%,5.52%,,5.13%,6.49%,2.17%,,5.59%
2026-08-14 22:00:00,,14.4%,1.90%,0.471%,1.10%,0.659%,2.58%,,2.73%
2026-08-15 01:00:00,,35.7%,8.43%,2.10%,2.59%,9.11%,13.2%,,3.93%
2026-08-15 04:00:00,,18.1%,3.10%,13.3%,2.77%,3.48%,5.81%,,7.96%
2026-08-15 07:00:00,5.63%,18.1%,5.28%,80.1%,4.74%,1.03%,4.92%,,10.6%
2026-08-15 10:00:00,,15.2%,9.01%,20.8%,7.25%,1.33%,2.74%,,6.92%
2026-08-15 13:00:00,6.65%,10.6%,2.14%,11.4%,2.82%,13.7%,7.01%,,10.2%
2026-08-15 16:00:00,11.2%,7.08%,3.81%,8.57%,7.63%,1.60%,4.69%,,13.5%
2026-08-15 19:00:00,3.77%,5.03%,4.12%,11.3%,10.5%,1.46%,14.1%,,3.01%
2026-08-15 22:00:00,2.70%,3.17%,5.63%,2.61%,6.75%,13.8%,14.6%,,8.89%
2026-08-16 01:00:00,4.95%,2.84%,2.35%,4.48%,5.40%,11.2%,5.48%,,12.6%
2026-08-16 04:00:00,5.79%,9.60%,7.30%,3.92%,6.76%,2.93%,2.55%,,3.29%
2026-08-16 07:00:00,3.86%,11.3%,2.68%,4.74%,3.14%,7.14%,3.63%,,1.44%
2026-08-16 10:00:00,6.41%,31.8%,5.84%,8.55%,5.66%,6.37%,8.75%,,2.76%
2026-08-16 13:00:00,4.92%,33.3%,3.93%,9.43%,7.77%,0.945%,6.80%,,2.45%
2026-08-16 16:00:00,5.63%,8.23%,12.1%,2.12%,11.0%,6.29%,7.09%,,5.73%
2026-08-16 19:00:00,10.2%,5.11%,1.01%,6.05%,4.13%,1.35%,4.33%,,2.46%
2026-08-16 22:00:00,11.1%,7.33%,12.0%,9.57%,4.09%,1.07%,11.3%,,5.99%
2026-08-17 01:00:00,1.92%,9.68%,3.19%,5.17%,5.10%,1.77%,7.80%,,2.54%
2026-08-17 04:00:00,6.26%,14.3%,11.0%,18.0%,1.74%,2.24%,3.49%,,5.15%
2026-08-17 07:00:00,10.2%,11.6%,7.24%,5.67%,4.37%,4.36%,9.16%,,5.78%
2026-08-17 10:00:00,22.6%,9.87%,3.41%,17.1%,1.31%,10.4%,4.67%,,3.23%
2026-08-17 13:00:00,0.0362%,10.7%,6.31%,12.1%,8.88%,30.3%,6.16%,,2.26%
2026-08-17 16:00:00,4.96%,17.6%,6.94%,4.03%,9.77%,2.07%,6.52%,,2.83%
2026-08-17 19:00:00,5.84%,13.4%,2.80%,0.906%,7.05%,3.17%,8.27%,,0.289%
2026-08-17 22:00:00,5.41%,6.69%,1.54%,2.34%,3.89%,1.64%,4.39%,,13.4%
2026-08-18 01:00:00,14.5%,14.0%,3.05%,7.16%,6.88%,0.548%,7.25%,,4.68%
2026-08-18 04:00:00,15.9%,13.9%,1.38%,4.18%,4.47%,0.363%,9.23%,,4.38%
2026-08-18 07:00:00,1.64%,4.53%,7.81%,3.75%,7.28%,7.62%,6.33%,,12.6%
2026-08-18 10:00:00,10.7%,12.0%,8.69%,9.76%,2.94%,1.70%,3.37%,,3.55%
2026-08-18 13:00:00,17.0%,7.22%,3.30%,7.98%,2.92%,8.12%,12.6%,,7.10%
2026-08-18 16:00:00,5.47%,21.7%,5.06%,,3.26%,4.78%,3.93%,,3.01%
2026-08-18 19:00:00,6.69%,4.55%,2.68%,,7.91%,7.06%,8.63%,,2.33%
2026-08-18 22:00:00,7.38%,20.4%,2.17%,,5.21%,10.5%,4.75%,,3.11%
2026-08-19 01:00:00,10.9%,12.1%,1.51%,,16.0%,9.74%,2.97%,,6.08%
2026-08-19 04:00:00,6.75%,9.36%,2.72%,,0.502%,1.98%,8.09%,,2.45%
2026-08-19 07:00:00,9.47%,18.2%,4.87%,,6.55%,1.73%,8.98%,,3.94%
2026-08-19 10:00:00,5.76%,19.5%,0.799%,,1.82%,2.11%,10.2%,,2.88%
2026-08-19 13:00:00,11.7%,7.23%,2.50%,1.29%,4.15%,2.51%,12.4%,,3.56%
2026-08-19 16:00:00,4.76%,3.67%,0.726%,5.99%,5.63%,3.54%,10.2%,,11.2%
2026-08-19 19:00:00,14.5%,15.9%,3.55%,5.57%,0.442%,7.49%,2.78%,,4.21%
2026-08-19 22:00:00,4.99%,24.1%,36.9%,10.2%,5.75%,2.75%,7.80%,,6.14%
2026-08-20 01:00:00,9.27%,11.8%,14.2%,4.89%,10.5%,7.56%,4.67%,,6.46%
2026-08-20 04:00:00,4.86%,4.70%,4.46%,4.79%,6.80%,1.11%,2.41%,,1.90%
2026-08-20 07:00:00,4.03%,7.82%,1.10%,6.97%,4.18%,3.27%,3.61%,,7.83%
2026-08-20 10:00:00,9.00%,9.37%,0%,4.27%,2.86%,0.465%,6.26%,,9.23%
2026-08-20 13:00:00,8.59%,9.62%,0.150%,12.7%,0.700%,3.51%,4.18%,,4.51%
2026-08-20 16:00:00,3.11%,4.94%,19.3%,3.39%,3.01%,6.39%,2.72%,,4.83%
2026-08-20 19:00:00,3.23%,36.7%,2.82%,16.3%,3.93%,1.22%,2.25%,,2.46%
2026-08-20 22:00:00,2.62%,13.7%,7.20%,7.47%,2.59%,0.842%,1.84%,,3.00%
2026-08-21 01:00:00,7.66%,9.47%,31.5%,8.63%,8.34%,4.29%,12.8%,,16.7%
2026-08-21 04:00:00,6.44%,12.3%,5.99%,2.65%,2.01%,8.56%,1.93%,,2.11%
2026-08-21 07:00:00,8.07%,7.31%,2.76%,4.12%,4.53%,3.47%,13.6%,,4.16%
2026-08-21 10:00:00,12.4%,3.81%,3.75%,10.7%,8.53%,32.7%,7.45%,,4.88%
2026-08-21 13:00:00,13.6%,6.54%,7.47%,26.4%,8.77%,10.4%,35.0%,,3.73%
2026-08-21 16:00:00,8.24%,8.48%,1.15%,6.51%,27.0%,1.60%,,,5.76%
2026-08-21 19:00:00,14.6%,2.46%,16.0%,3.29%,22.0%,1.50%,0.203%,,5.74%
2026-08-21 22:00:00,28.7%,7.34%,12.7%,3.30%,3.17%,2.71%,0.252%,,5.16%
2026-08-22 01:00:00,11.4%,,0.336%,2.52%,1.05%,1.94%,0.404%,,3.28%
2026-08-22 04:00:00,7.87%,3.52%,1.89%,2.77%,1.72%,1.06%,,,3.36%
2026-08-22 07:00:00,8.19%,9.20%,3.40%,2.33%,3.39%,4.63%,,,4.88%
2026-08-22 10:00:00,1.86%,4.84%,6.09%,2.90%,14.1%,0.919%,,,11.6%
2026-08-22 13:00:00,6.58%,1.81%,1.61%,6.12%,3.74%,7.03%,,,15.2%
2026-08-22 16:00:00,4.23%,4.01%,11.1%,0.859%,4.30%,3.38%,,,18.2%
2026-08-22 19:00:00,3.47%,6.13%,5.15%,1.46%,2.99%,5.82%,,,13.5%
2026-08-22 22:00:00,2.35%,6.12%,1.26%,3.94%,5.40%,3.79%,18.2%,,4.32%
2026-08-23 01:00:00,4.85%,4.39%,24.3%,3.10%,17.5%,1.77%,8.44%,,23.1%
2026-08-23 04:00:00,6.91%,5.88%,6.92%,8.38%,3.32%,3.81%,5.61%,,
2026-08-23 07:00:00,4.81%,8.98%,15.0%,8.58%,5.51%,2.40%,3.25%,,
2026-08-23 10:00:00,10.1%,1.08%,20.5%,2.11%,1.06%,2.14%,5.21%,,13.0%
2026-08-23 13:00:00,7.64%,3.98%,8.70%,11.3%,42.3%,2.48%,5.84%,,
2026-08-23 16:00:00,24.8%,17.5%,14.2%,1.75%,58.9%,22.5%,2.34%,,
2026-08-23 19:00:00,6.33%,11.3%,12.1%,12.4%,33.1%,13.5%,17.2%,,
2026-08-23 22:00:00,6.99%,17.1%,5.50%,7.74%,0%,11.0%,2.34%,,
2026-08-24 01:00:00,15.4%,12.0%,4.22%,9.62%,,1.81%,3.69%,,
2026-08-24 04:00:00,30.1%,26.2%,6.34%,4.21%,,4.81%,3.13%,,
2026-08-24 07:00:00,15.1%,8.10%,13.8%,14.8%,12.5%,4.36%,4.65%,,
2026-08-24 10:00:00,8.08%,7.10%,6.16%,24.6%,,2.02%,3.24%,,
2026-08-24 13:00:00,6.36%,2.04%,0%,4.36%,,0.424%,5.63%,,
2026-08-24 16:00:00,5.91%,14.9%,10.6%,3.05%,,4.61%,3.72%,,0.858%
2026-08-24 19:00:00,5.48%,7.87%,1.78%,11.2%,0.469%,10.9%,10.3%,,1.94%
2026-08-24 22:00:00,4.94%,8.97%,0.0761%,5.62%,3.49%,7.79%,3.26%,,16.3%
2026-08-25 01:00:00,3.67%,8.58%,2.92%,3.53%,,0.422%,3.10%,,2.35%
2026-08-25 04:00:00,15.3%,1.94%,7.14%,2.78%,,2.83%,6.81%,,7.78%
2026-08-25 07:00:00,12.7%,19.5%,5.27%,13.1%,,3.53%,1.83%,,6.76%
2026-08-25 10:00:00,17.1%,14.0%,10.4%,7.17%,,7.20%,6.97%,,13.2%
2026-08-25 13:00:00,14.3%,10.5%,10.9%,19.3%,,16.5%,12.5%,,5.06%
2026-08-25 16:00:00,13.3%,2.90%,4.35%,8.68%,,12.5%,2.23%,,11.7%
2026-08-25 19:00:00,4.69%,11.0%,17.5%,3.04%,,4.18%,8.12%,,4.26%
2026-08-25 22:00:00,4.90%,19.6%,14.7%,2.97%,,0.725%,5.79%,,8.16%
2026-08-26 01:00:00,10.9%,1.84%,9.94%,2.79%,,1.74%,18.1%,,2.69%
2026-08-26 04:00:00,5.13%,12.0%,9.05%,5.74%,,2.48%,15.4%,,3.86%
2026-08-26 07:00:00,7.79%,30.7%,10.1%,14.9%,,5.30%,8.84%,,1.00%
2026-08-26 10:00:00,28.1%,12.9%,11.1%,1.45%,,8.91%,10.3%,,2.63%
2026-08-26 13:00:00,12.6%,15.2%,8.50%,4.70%,,14.2%,18.3%,,15.7%
2026-08-26 16:00:00,16.9%,6.23%,7.38%,3.11%,,3.32%,4.21%,,3.31%
2026-08-26 19:00:00,8.60%,10.1%,10.3%,21.1%,,1.28%,2.14%,,3.31%
2026-08-26 22:00:00,9.62%,9.34%,7.71%,8.88%,,0.275%,2.75%,,3.46%
2026-08-27 01:00:00,3.51%,18.5%,41.4%,2.47%,,0.688%,6.07%,,5.87%
2026-08-27 04:00:00,4.57%,6.75%,0.0205%,8.87%,,0.200%,8.93%,,5.85%
2026-08-27 07:00:00,6.16%,2.16%,,2.91%,,0.704%,6.15%,,14.0%
2026-08-27 10:00:00,11.5%,0.373%,6.14%,4.29%,,1.28%,3.09%,,12.5%
2026-08-27 13:00:00,4.03%,0.0800%,,5.65%,,1.99%,6.69%,,14.2%
2026-08-27 16:00:00,8.01%,0.481%,,2.63%,,2.30%,4.43%,,7.99%
2026-08-27 19:00:00,5.75%,0.0729%,,4.82%,,16.7%,4.24%,,3.73%
2026-08-27 22:00:00,1.02%,1.16%,,2.39%,,14.6%,5.76%,,7.42%
2026-08-28 01:00:00,6.72%,2.01%,,18.3%,,4.50%,4.59%,,7.54%
2026-08-28 04:00:00,2.12%,14.7%,,17.8%,,8.67%,5.08%,,11.0%
2026-08-28 07:00:00,2.93%,1.87%,,7.41%,,2.16%,11.8%,,8.64%
2026-08-28 10:00:00,4.73%,0.420%,,1.79%,,0.927%,2.58%,,15.4%
2026-08-28 13:00:00,,6.02%,,4.73%,,9.91%,2.79%,,8.35%
2026-08-28 16:00:00,,3.53%,0%,3.46%,,16.1%,6.62%,,3.85%
2026-08-28 19:00:00,,12.3%,3.33%,1.78%,,13.1%,1.96%,,5.18%
2026-08-28 22:00:00,5.38%,3.66%,9.34%,4.86%,,7.11%,4.86%,,2.88%
2026-08-29 01:00:00,3.67%,26.9%,2.40%,30.5%,,20.4%,4.21%,,2.17%
2026-08-29 04:00:00,2.76%,,2.34%,9.41%,,11.4%,2.60%,,7.63%
2026-08-29 07:00:00,5.91%,0.185%,2.16%,11.1%,,7.70%,5.70%,,15.6%
2026-08-29 10:00:00,5.52%,2.45%,2.94%,18.1%,,2.05%,4.41%,,5.72%
2026-08-29 13:00:00,5.36%,,11.3%,10.6%,,3.65%,3.77%,,4.50%
2026-08-29 16:00:00,6.12%,,4.71%,4.12%,,1.38%,4.32%,,4.76%
2026-08-29 19:00:00,6.27%,,9.70%,4.48%,,22.0%,2.06%,,7.12%
2026-08-29 22:00:00,6.90%,,10.4%,20.9%,,5.62%,7.61%,,3.10%
2026-08-30 01:00:00,4.39%,,7.65%,5.79%,,4.48%,1.13%,,7.71%
2026-08-30 04:00:00,2.46%,,0.442%,8.88%,,5.10%,4.36%,,8.05%
2026-08-30 07:00:00,1.88%,0%,19.9%,2.53%,,2.20%,17.3%,,4.97%
2026-08-30 10:00:00,14.0%,2.12%,33.2%,1.66%,,11.0%,5.37%,,6.16%
2026-08-30 13:00:00,8.28%,5.85%,3.46%,7.77%,,24.6%,7.32%,,17.8%
2026-08-30 16:00:00,8.39%,6.18%,2.79%,4.57%,,43.2%,1.96%,,3.95%
2026-08-30 19:00:00,12.2%,7.17%,4.83%,23.2%,,2.89%,9.29%,,40.8%
2026-08-30 22:00:00,7.31%,10.2%,3.95%,12.6%,,10.2%,10.8%,,24.6%
2026-08-31 01:00:00,13.0%,5.65%,2.40%,7.21%,,12.2%,12.4%,,8.07%
2026-08-31 04:00:00,17.6%,6.59%,1.73%,34.5%,,3.47%,4.65%,,4.45%
2026-08-31 07:00:00,6.49%,12.9%,8.03%,14.7%,,0.625%,14.6%,,8.13%
2026-08-31 10:00:00,2.87%,11.8%,1.10%,11.0%,,3.08%,26.8%,,6.67%
2026-08-31 13:00:00,5.43%,14.7%,1.15%,9.52%,,7.07%,20.4%,,6.38%
2026-08-31 16:00:00,4.13%,38.2%,4.45%,1.61%,,0.503%,9.73%,,5.02%
2026-08-31 19:00:00,5.17%,11.4%,2.44%,9.64%,,1.31%,11.9%,,17.9%
2026-08-31 22:00:00,10.5%,4.33%,14.6%,44.1%,,1.51%,2.96%,,31.4%
2026-09-01 01:00:00,19.8%,1.78%,73.5%,0.0851%,,,8.24%,,11.0%
2026-09-01 04:00:00,10.4%,10.2%,43.4%,15.1%,,6.20%,,,
2026-09-01 07:00:00,8.63%,,26.5%,7.78%,,1.16%,4.87%,,10.7%
2026-09-01 10:00:00,2.54%,2.78%,2.80%,3.09%,,3.84%,8.49%,,5.26%
2026-09-01 13:00:00,6.62%,5.86%,3.55%,4.78%,,,26.1%,,1.91%
2026-09-01 16:00:00,4.23%,0.376%,1.98%,3.05%,,,6.03%,,7.78%
2026-09-01 19:00:00,,,0.274%,5.76%,,,57.9%,,
2026-09-01 22:00:00,,,9.21%,5.11%,,4.31%,26.1%,,11.5%
2026-09-02 01:00:00,21.3%,5.95%,13.7%,4.39%,,0.157%,10.3%,,2.34%
2026-09-02 04:00:00,13.5%,10.3%,1.34%,2.50%,,17.2%,9.25%,,5.92%
2026-09-02 07:00:00,25.3%,10.1%,3.66%,1.67%,,1.28%,23.8%,,17.3%
2026-09-02 10:00:00,23.9%,3.89%,1.12%,1.04%,,0.710%,5.69%,,5.99%
2026-09-02 13:00:00,15.8%,6.77%,1.38%,5.89%,,9.99%,9.54%,,8.81%
2026-09-02 16:00:00,15.4%,4.68%,1.46%,5.81%,,0.591%,2.06%,,3.65%
2026-09-02 19:00:00,12.1%,8.78%,5.62%,5.09%,,1.98%,11.1%,,17.3%
2026-09-02 22:00:00,8.33%,11.4%,0.678%,7.20%,,2.85%,9.61%,,2.10%
2026-09-03 01:00:00,6.78%,5.39%,8.79%,5.81%,,5.74%,5.75%,,9.06%
2026-09-03 04:00:00,10.9%,18.7%,3.67%,5.31%,,1.59%,9.10%,,2.18%
2026-09-03 07:00:00,13.0%,7.96%,10.2%,2.91%,,3.21%,3.37%,,14.7%
2026-09-03 10:00:00,11.1%,13.8%,4.65%,3.49%,,3.81%,9.59%,,2.27%
2026-09-03 13:00:00,3.60%,13.0%,2.43%,5.05%,,5.08%,44.8%,,4.30%
2026-09-03 16:00:00,7.19%,11.7%,10.3%,3.70%,,3.31%,58.9%,,4.07%
2026-09-03 19:00:00,7.79%,12.0%,1.24%,2.53%,,4.88%,55.7%,,13.7%
2026-09-03 22:00:00,23.6%,8.79%,4.75%,2.60%,,1.67%,5.93%,,19.3%
2026-09-04 01:00:00,11.4%,15.0%,10.3%,2.23%,,2.12%,1.39%,,4.30%
2026-09-04 04:00:00,8.42%,12.1%,6.79%,2.15%,,3.19%,1.38%,,17.9%
2026-09-04 07:00:00,5.71%,19.1%,6.52%,,,8.59%,1.95%,,3.02%
2026-09-04 10:00:00,7.08%,27.3%,9.33%,29.9%,0%,5.85%,1.68%,,1.42%
2026-09-04 13:00:00,6.48%,16.5%,5.40%,4.63%,0%,2.80%,3.47%,,7.68%
2026-09-04 16:00:00,8.80%,14.8%,4.55%,6.08%,1.37%,1.78%,1.98%,,8.68%
2026-09-04 19:00:00,3.87%,4.81%,2.70%,19.0%,,0.194%,1.72%,,19.0%
2026-09-04 22:00:00,2.34%,4.11%,4.32%,17.5%,,4.48%,5.43%,,10.8%
2026-09-05 01:00:00,9.71%,3.47%,1.34%,6.80%,,3.14%,1.62%,,14.9%
2026-09-05 04:00:00,8.63%,10.8%,7.09%,4.00%,,1.17%,3.00%,,3.08%
2026-09-05 07:00:00,5.22%,2.92%,11.8%,16.7%,,1.84%,0.837%,,7.15%
2026-09-05 10:00:00,6.00%,2.57%,15.4%,23.6%,,1.61%,2.55%,,16.9%
2026-09-05 13:00:00,7.41%,10.6%,18.8%,16.2%,,0.694%,6.60%,,6.69%
2026-09-05 16:00:00,5.91%,21.0%,5.78%,5.98%,0%,,2.54%,,3.51%
2026-09-05 19:00:00,6.17%,16.5%,6.03%,4.23%,0%,5.28%,1.02%,,2.77%
2026-09-05 22:00:00,5.12%,14.5%,6.73%,12.6%,0%,11.4%,3.05%,,3.63%
2026-09-06 01:00:00,7.01%,23.6%,15.0%,1.09%,1.09%,12.8%,6.20%,,9.95%
2026-09-06 04:00:00,6.13%,12.1%,6.00%,3.33%,0.295%,4.28%,5.17%,,4.96%
2026-09-06 07:00:00,6.25%,21.2%,19.0%,2.34%,8.71%,5.06%,1.61%,,2.99%
2026-09-06 10:00:00,6.44%,4.22%,19.6%,4.12%,5.29%,6.09%,1.61%,,1.95%
2026-09-06 13:00:00,9.40%,12.1%,3.10%,3.97%,0%,63.0%,1.14%,,36.5%
2026-09-06 16:00:00,6.50%,2.92%,13.0%,4.42%,0%,,1.72%,,2.56%
2026-09-06 19:00:00,14.0%,3.14%,5.33%,10.6%,0.122%,0.0680%,2.28%,,6.17%
2026-09-06 22:00:00,7.90%,5.54%,10.7%,6.64%,0.681%,,4.92%,,2.40%
2026-09-07 01:00:00,6.16%,5.86%,8.61%,5.69%,,,5.67%,,11.3%
