"Time","%_FW - I38","%_FW - I39","%_FW - I40","%_FW - I41","%_FW - I42","%_FW - I43","%_FW - I44","%_FW - I47","%_FW - I48"
2026-07-21 16:00:00,13.9%,,4.32%,9.21%,2.20%,11.8%,2.97%,,
2026-07-21 19:00:00,19.3%,,2.55%,22.2%,9.28%,11.6%,5.01%,,5.03%
2026-07-21 22:00:00,5.75%,,7.14%,8.75%,13.6%,21.7%,0.467%,,
2026-07-22 01:00:00,7.69%,,2.39%,22.9%,14.2%,2.03%,2.24%,,
2026-07-22 04:00:00,22.3%,,1.31%,16.0%,6.62%,1.21%,4.85%,,
2026-07-22 07:00:00,4.90%,,5.75%,6.34%,4.13%,1.11%,5.09%,,
2026-07-22 10:00:00,12.9%,,3.83%,7.92%,4.26%,0.689%,10.6%,,
2026-07-22 13:00:00,0.0159%,,4.05%,14.5%,2.38%,16.0%,5.92%,,
2026-07-22 16:00:00,5.60%,,8.32%,26.7%,7.73%,8.44%,4.37%,,0.977%
2026-07-22 19:00:00,5.32%,,1.89%,18.4%,8.62%,39.9%,6.67%,,9.06%
2026-07-22 22:00:00,5.03%,,5.39%,6.17%,2.23%,60.2%,1.14%,,2.65%
2026-07-23 01:00:00,32.0%,,4.01%,3.89%,1.59%,37.5%,3.30%,,9.83%
2026-07-23 04:00:00,10.1%,,4.33%,2.15%,1.15%,0.784%,,,6.45%
2026-07-23 07:00:00,5.01%,,15.4%,2.81%,16.8%,,,,8.17%
2026-07-23 10:00:00,4.51%,,10.8%,5.42%,9.89%,1.61%,4.90%,,1.65%
2026-07-23 13:00:00,27.1%,,13.2%,4.96%,3.95%,0%,,,7.32%
2026-07-23 16:00:00,15.0%,,1.17%,1.73%,5.85%,,,,1.16%
2026-07-23 19:00:00,9.48%,,38.1%,4.64%,7.59%,,,,0%
2026-07-23 22:00:00,17.8%,,8.97%,2.65%,5.74%,1.03%,,,2.84%
2026-07-24 01:00:00,5.65%,,6.50%,1.52%,0.911%,,,,4.07%
2026-07-24 04:00:00,6.64%,,2.43%,8.22%,8.42%,8.65%,,,3.26%
2026-07-24 07:00:00,11.6%,,7.91%,0.762%,9.75%,0%,,,7.36%
2026-07-24 10:00:00,9.39%,,3.01%,1.62%,9.20%,1.86%,0.694%,,3.70%
2026-07-24 13:00:00,12.2%,,12.5%,39.9%,11.4%,,20.8%,,3.81%
2026-07-24 16:00:00,11.4%,,5.74%,8.85%,11.4%,,31.2%,,3.19%
2026-07-24 19:00:00,4.68%,,4.82%,6.98%,27.1%,,37.3%,,5.77%
2026-07-24 22:00:00,4.92%,,2.39%,3.32%,3.61%,,8.74%,,4.01%
2026-07-25 01:00:00,8.19%,,1.43%,5.09%,1.06%,,4.74%,,2.37%
2026-07-25 04:00:00,7.25%,,5.75%,5.88%,3.60%,,17.2%,,3.94%
2026-07-25 07:00:00,5.74%,,12.7%,5.17%,5.94%,,3.32%,,1.28%
2026-07-25 10:00:00,4.79%,0.0800%,8.57%,10.2%,11.0%,,7.83%,,7.99%
2026-07-25 13:00:00,5.58%,,3.88%,2.86%,12.7%,,9.71%,,3.25%
2026-07-25 16:00:00,8.60%,,8.73%,4.42%,5.00%,,1.96%,,3.69%
2026-07-25 19:00:00,4.31%,,1.88%,6.04%,10.0%,,8.67%,,2.72%
2026-07-25 22:00:00,3.59%,,1.73%,5.09%,9.14%,,6.21%,,1.92%
2026-07-26 01:00:00,5.52%,,1.13%,6.53%,4.87%,,3.89%,,8.28%
2026-07-26 04:00:00,6.24%,,1.46%,1.56%,13.2%,,5.85%,,5.83%
2026-07-26 07:00:00,7.84%,,8.71%,3.44%,5.78%,,8.89%,,3.91%
2026-07-26 10:00:00,6.15%,,14.1%,4.30%,8.47%,,17.8%,,5.19%
2026-07-26 13:00:00,9.83%,,11.3%,5.64%,10.2%,,8.22%,,3.93%
2026-07-26 16:00:00,19.7%,,6.95%,4.87%,8.65%,,8.33%,,7.56%
2026-07-26 19:00:00,28.3%,,9.10%,2.77%,8.70%,,5.43%,,6.37%
2026-07-26 22:00:00,5.16%,,3.85%,1.53%,4.86%,,2.42%,,9.12%
2026-07-27 01:00:00,7.93%,,1.99%,4.28%,,,8.59%,,12.4%
2026-07-27 04:00:00,13.6%,,1.55%,3.27%,0%,,9.49%,,11.0%
2026-07-27 07:00:00,10.0%,,6.93%,3.42%,23.0%,,4.43%,,4.78%
2026-07-27 10:00:00,8.96%,,3.19%,1.63%,28.4%,,5.62%,,1.45%
2026-07-27 13:00:00,3.61%,,2.23%,2.63%,1.87%,,22.7%,,3.15%
2026-07-27 16:00:00,0.0637%,,3.00%,2.52%,10.0%,,3.08%,,3.59%
2026-07-27 19:00:00,,,2.99%,2.26%,2.84%,,2.83%,,1.74%
2026-07-27 22:00:00,7.93%,,39.2%,2.94%,4.39%,,2.20%,,10.8%
2026-07-28 01:00:00,9.30%,,29.6%,3.01%,7.52%,,1.08%,,5.08%
2026-07-28 04:00:00,8.04%,,,4.14%,3.89%,,9.14%,,5.75%
2026-07-28 07:00:00,2.18%,,,3.39%,2.24%,,3.51%,,11.0%
2026-07-28 10:00:00,17.4%,,0.0727%,2.98%,2.26%,,2.91%,,6.43%
2026-07-28 13:00:00,5.30%,,,2.28%,8.56%,,3.89%,,3.25%
2026-07-28 16:00:00,5.77%,,,2.89%,3.20%,,2.60%,,2.40%
2026-07-28 19:00:00,4.60%,,,3.88%,8.97%,,28.2%,,3.50%
2026-07-28 22:00:00,3.39%,,,6.60%,17.6%,,4.85%,,4.82%
2026-07-29 01:00:00,4.07%,,,1.88%,4.19%,,3.78%,,10.8%
2026-07-29 04:00:00,13.0%,,,14.6%,12.2%,,1.03%,,6.71%
2026-07-29 07:00:00,4.76%,,,12.8%,6.22%,,3.20%,,10.9%
2026-07-29 10:00:00,9.55%,,,4.48%,2.27%,,7.17%,,14.4%
2026-07-29 13:00:00,5.57%,,0.0370%,7.57%,1.66%,,3.99%,,5.90%
2026-07-29 16:00:00,8.06%,8.63%,0%,8.86%,4.55%,,3.49%,,4.60%
2026-07-29 19:00:00,3.42%,,0%,3.37%,8.87%,,2.17%,,3.58%
2026-07-29 22:00:00,0.662%,,9.88%,1.11%,6.17%,,3.64%,,9.21%
2026-07-30 01:00:00,3.24%,,2.53%,3.62%,5.24%,,6.75%,,30.9%
2026-07-30 04:00:00,10.1%,,3.16%,2.68%,4.45%,,0.856%,,3.17%
2026-07-30 07:00:00,1.85%,,16.4%,10.7%,2.50%,,1.58%,,11.1%
2026-07-30 10:00:00,11.8%,6.93%,13.9%,2.65%,3.47%,,8.24%,,11.8%
2026-07-30 13:00:00,6.82%,56.5%,1.25%,1.78%,5.77%,,13.5%,,4.83%
