"Time","%_FW - I45","%_FW - I49","%_FW - I50","%_FW - I52","%_FW - I53","%_FW - I54","%_FW - I55","%_FW - I56","%_FW - I57","%_FW - I58"
2026-07-06 13:00:00,5.23%,5.38%,4.93%,5.70%,12.1%,13.1%,1.25%,3.88%,,5.99%
2026-07-06 16:00:00,3.78%,3.24%,2.48%,14.9%,3.43%,10.4%,2.26%,3.70%,,10.6%
2026-07-06 19:00:00,4.13%,2.69%,8.23%,8.96%,10.0%,13.1%,3.34%,10.2%,,8.52%
2026-07-06 22:00:00,5.32%,6.61%,4.48%,6.85%,12.7%,20.9%,5.41%,8.57%,1.46%,7.16%
2026-07-07 01:00:00,5.43%,2.44%,3.95%,6.04%,4.14%,11.9%,2.22%,13.0%,8.98%,6.96%
2026-07-07 04:00:00,7.19%,4.44%,3.68%,11.4%,4.12%,9.82%,3.70%,18.7%,12.8%,6.20%
2026-07-07 07:00:00,19.3%,2.41%,2.69%,9.37%,2.85%,13.0%,1.38%,4.33%,10.9%,8.06%
2026-07-07 10:00:00,6.39%,2.73%,2.65%,7.23%,2.68%,9.49%,18.9%,9.55%,12.2%,7.84%
2026-07-07 13:00:00,6.37%,2.41%,5.03%,6.63%,45.8%,5.01%,1.92%,8.18%,6.88%,9.63%
2026-07-07 16:00:00,7.39%,15.3%,3.91%,8.46%,,13.5%,2.56%,7.31%,1.17%,17.2%
2026-07-07 19:00:00,5.66%,5.54%,42.5%,8.36%,8.69%,12.0%,2.55%,5.67%,13.3%,5.46%
2026-07-07 22:00:00,5.86%,2.44%,46.7%,7.57%,15.0%,14.3%,3.77%,4.22%,9.43%,7.12%
2026-07-08 01:00:00,8.51%,2.55%,27.3%,7.52%,6.20%,31.3%,9.34%,3.28%,6.86%,8.78%
2026-07-08 04:00:00,5.42%,4.31%,51.8%,6.51%,4.55%,4.65%,2.25%,10.3%,17.0%,5.53%
2026-07-08 07:00:00,4.33%,1.58%,47.1%,7.69%,2.97%,13.2%,3.27%,13.2%,4.61%,8.63%
2026-07-08 10:00:00,7.98%,1.85%,56.8%,19.2%,4.55%,9.32%,1.10%,4.94%,5.79%,5.15%
2026-07-08 13:00:00,12.0%,2.72%,25.7%,9.16%,10.9%,8.13%,4.80%,5.44%,4.14%,10.1%
2026-07-08 16:00:00,6.54%,1.95%,4.13%,15.7%,10.5%,5.75%,2.32%,3.64%,2.97%,6.35%
2026-07-08 19:00:00,5.31%,1.55%,2.72%,17.6%,18.0%,1.72%,9.57%,3.96%,2.19%,14.1%
2026-07-08 22:00:00,13.0%,0.703%,4.47%,6.21%,6.44%,8.32%,2.05%,4.63%,3.01%,6.33%
2026-07-09 01:00:00,6.05%,8.98%,5.92%,9.17%,8.14%,3.90%,14.1%,3.68%,1.61%,6.67%
2026-07-09 04:00:00,6.89%,9.28%,5.47%,9.92%,4.95%,3.80%,2.72%,12.7%,3.35%,6.02%
