"Time","%_FW - I45","%_FW - I49","%_FW - I50","%_FW - I52","%_FW - I53","%_FW - I54","%_FW - I55","%_FW - I56","%_FW - I57","%_FW - I58"
2026-07-20 01:00:00,4.89%,4.98%,4.66%,9.57%,11.2%,8.85%,9.02%,8.54%,7.78%,9.25%
2026-07-20 04:00:00,5.67%,6.76%,7.90%,6.92%,2.62%,10.4%,1.43%,,8.74%,11.0%
2026-07-20 07:00:00,7.98%,7.63%,4.27%,7.71%,12.7%,14.1%,1.27%,55.4%,2.69%,5.13%
2026-07-20 10:00:00,10.1%,2.89%,5.54%,10.1%,6.87%,12.2%,2.46%,5.74%,15.7%,6.02%
2026-07-20 13:00:00,6.73%,4.58%,17.5%,13.7%,8.75%,5.48%,2.89%,3.73%,3.99%,9.50%
2026-07-20 16:00:00,18.6%,5.91%,24.7%,9.29%,34.3%,17.1%,28.0%,4.33%,8.84%,9.81%
2026-07-20 19:00:00,5.47%,2.47%,16.9%,8.29%,25.5%,4.49%,15.7%,1.89%,14.1%,6.37%
2026-07-20 22:00:00,11.1%,1.54%,6.70%,7.46%,7.26%,8.90%,7.08%,16.0%,15.4%,6.06%
2026-07-21 01:00:00,13.4%,2.95%,1.87%,7.47%,7.35%,5.11%,7.56%,4.10%,5.96%,5.96%
2026-07-21 04:00:00,4.17%,6.09%,6.12%,6.67%,6.01%,4.44%,0.487%,3.88%,3.79%,8.70%
2026-07-21 07:00:00,4.94%,2.31%,6.50%,15.7%,3.81%,27.0%,3.29%,2.69%,2.00%,5.26%
2026-07-21 10:00:00,5.58%,2.91%,6.95%,6.67%,1.86%,4.46%,16.9%,2.49%,7.56%,7.05%
2026-07-21 13:00:00,4.73%,5.61%,7.32%,9.44%,15.0%,6.72%,10.5%,4.14%,6.62%,8.66%
2026-07-21 16:00:00,5.05%,4.86%,14.3%,6.60%,7.29%,17.6%,4.38%,2.86%,3.16%,7.29%
2026-07-21 19:00:00,3.39%,24.5%,11.7%,6.35%,35.4%,4.21%,8.46%,2.85%,4.31%,5.13%
2026-07-21 22:00:00,3.62%,14.5%,11.6%,,1.89%,3.94%,7.43%,2.67%,3.60%,8.65%
2026-07-22 01:00:00,4.47%,13.0%,17.8%,7.66%,2.91%,13.9%,3.00%,3.46%,4.30%,8.02%
2026-07-22 04:00:00,3.90%,8.76%,6.38%,7.64%,2.49%,13.7%,3.73%,2.36%,4.29%,7.44%
2026-07-22 07:00:00,3.67%,2.00%,4.67%,5.95%,13.4%,29.4%,5.08%,2.39%,7.73%,12.4%
2026-07-22 10:00:00,8.16%,15.4%,4.05%,6.73%,13.7%,18.5%,3.10%,2.62%,14.5%,8.62%
2026-07-22 13:00:00,7.96%,1.28%,4.60%,6.35%,19.3%,17.7%,4.30%,4.21%,3.27%,16.8%
2026-07-22 16:00:00,7.40%,1.92%,15.7%,18.9%,12.1%,11.3%,1.19%,3.97%,15.4%,8.05%
2026-07-22 19:00:00,5.40%,20.5%,4.00%,8.88%,8.16%,5.27%,7.47%,1.84%,2.24%,6.67%
2026-07-22 22:00:00,8.80%,5.17%,6.36%,7.30%,12.9%,5.31%,5.18%,4.12%,2.97%,8.76%
2026-07-23 01:00:00,14.1%,4.85%,6.99%,18.5%,9.18%,13.0%,8.06%,3.39%,2.61%,5.32%
2026-07-23 04:00:00,8.31%,0.926%,8.96%,10.9%,4.04%,7.93%,7.26%,3.56%,2.57%,5.68%
2026-07-23 07:00:00,8.40%,1.11%,3.58%,6.74%,7.55%,12.3%,13.8%,2.19%,1.44%,6.93%
2026-07-23 10:00:00,5.92%,0.329%,4.03%,17.8%,7.10%,8.70%,3.57%,2.59%,2.91%,6.90%
2026-07-23 13:00:00,10.6%,1.54%,13.5%,9.46%,14.6%,7.83%,30.5%,3.25%,2.84%,7.75%
2026-07-23 16:00:00,2.63%,2.92%,12.2%,,4.72%,7.92%,10.0%,3.94%,1.82%,6.09%
2026-07-23 19:00:00,1.82%,1.49%,2.14%,8.27%,5.30%,75.1%,11.4%,2.52%,9.22%,8.55%
2026-07-23 22:00:00,5.08%,1.34%,3.57%,8.38%,6.25%,2.39%,5.74%,2.37%,3.67%,7.14%
2026-07-24 01:00:00,5.48%,6.23%,4.32%,6.10%,17.8%,4.13%,4.97%,2.77%,3.71%,6.66%
2026-07-24 04:00:00,25.6%,2.61%,2.18%,12.4%,8.65%,9.71%,2.10%,2.92%,12.4%,8.04%
2026-07-24 07:00:00,6.09%,2.35%,1.28%,14.4%,5.99%,7.96%,1.98%,7.44%,1.80%,4.85%
2026-07-24 10:00:00,4.76%,1.73%,6.33%,9.54%,6.46%,8.44%,2.12%,6.09%,2.22%,7.63%
2026-07-24 13:00:00,8.38%,11.6%,3.23%,7.51%,13.9%,4.95%,12.5%,19.3%,1.93%,8.26%
2026-07-24 16:00:00,4.63%,5.42%,2.84%,9.89%,5.71%,4.09%,10.5%,8.53%,3.21%,
2026-07-24 19:00:00,9.06%,1.94%,3.50%,7.70%,8.62%,2.79%,16.4%,2.84%,,
2026-07-24 22:00:00,11.1%,18.0%,3.77%,24.3%,4.61%,6.46%,4.81%,4.03%,0%,
2026-07-25 01:00:00,24.7%,2.75%,2.71%,9.25%,7.73%,4.23%,3.76%,6.06%,5.36%,10.1%
2026-07-25 04:00:00,29.7%,2.64%,4.16%,,5.19%,5.60%,7.05%,5.67%,3.03%,6.99%
2026-07-25 07:00:00,19.5%,3.78%,4.27%,7.35%,3.76%,2.95%,2.30%,17.6%,2.34%,7.75%
2026-07-25 10:00:00,10.6%,0.450%,3.76%,,11.1%,9.42%,7.75%,3.69%,2.29%,9.13%
2026-07-25 13:00:00,20.1%,1.84%,5.20%,,30.9%,5.75%,7.48%,4.70%,16.4%,7.40%
2026-07-25 16:00:00,5.33%,1.31%,4.36%,7.14%,13.5%,7.12%,11.9%,5.82%,5.37%,5.58%
2026-07-25 19:00:00,8.69%,1.53%,3.25%,,12.8%,7.88%,5.97%,1.99%,9.76%,9.09%
2026-07-25 22:00:00,4.82%,2.14%,6.03%,7.65%,9.48%,15.7%,10.6%,10.6%,3.43%,6.27%
2026-07-26 01:00:00,6.18%,3.26%,2.49%,17.0%,2.74%,9.95%,7.10%,4.01%,2.59%,8.16%
2026-07-26 04:00:00,5.03%,6.81%,3.76%,32.3%,4.53%,,3.84%,4.87%,5.44%,6.17%
2026-07-26 07:00:00,6.67%,10.5%,4.99%,8.27%,7.36%,,5.51%,4.68%,5.47%,9.30%
2026-07-26 10:00:00,6.31%,5.08%,5.79%,9.36%,17.9%,7.11%,3.81%,3.68%,12.2%,6.26%
2026-07-26 13:00:00,2.69%,3.75%,6.15%,,5.34%,,10.1%,3.98%,5.58%,8.45%
2026-07-26 16:00:00,3.27%,2.09%,5.56%,,7.71%,,5.70%,6.18%,7.65%,7.07%
2026-07-26 19:00:00,5.02%,1.36%,6.89%,,9.27%,,3.19%,4.80%,2.36%,7.50%
2026-07-26 22:00:00,3.95%,10.9%,3.36%,,31.9%,,2.87%,4.89%,1.76%,7.10%
2026-07-27 01:00:00,11.5%,5.18%,6.06%,35.9%,11.8%,,3.39%,15.0%,2.54%,62.5%
2026-07-27 04:00:00,6.40%,7.04%,6.46%,27.8%,7.15%,1.95%,4.51%,6.97%,4.92%,7.25%
2026-07-27 07:00:00,7.63%,6.58%,4.22%,10.8%,8.66%,,4.94%,3.60%,12.0%,6.74%
2026-07-27 10:00:00,5.43%,7.73%,3.99%,12.3%,6.58%,7.69%,7.32%,13.2%,3.53%,8.01%
2026-07-27 13:00:00,12.3%,3.32%,10.8%,13.6%,3.83%,4.75%,10.1%,2.98%,5.34%,7.83%
2026-07-27 16:00:00,15.3%,1.83%,4.31%,10.0%,2.49%,5.32%,6.32%,12.8%,4.34%,5.16%
2026-07-27 19:00:00,6.93%,2.84%,55.3%,16.7%,7.80%,7.32%,16.9%,1.31%,3.76%,8.59%
2026-07-27 22:00:00,3.98%,2.33%,4.13%,13.3%,8.40%,3.52%,3.18%,1.86%,12.9%,4.20%
2026-07-28 01:00:00,20.9%,3.40%,2.10%,10.9%,14.1%,17.4%,10.4%,2.89%,7.24%,24.3%
2026-07-28 04:00:00,4.69%,4.38%,5.86%,13.9%,3.58%,12.6%,5.44%,3.84%,3.96%,23.1%
2026-07-28 07:00:00,14.7%,9.13%,3.56%,6.48%,4.08%,4.58%,4.22%,2.68%,2.67%,11.2%
2026-07-28 10:00:00,10.7%,12.3%,4.52%,5.92%,9.30%,13.0%,2.03%,2.48%,4.12%,8.07%
2026-07-28 13:00:00,18.5%,3.55%,78.7%,7.98%,6.31%,11.3%,0.709%,3.66%,23.6%,6.92%
2026-07-28 16:00:00,8.34%,5.11%,98.7%,8.52%,3.17%,6.74%,4.61%,9.30%,8.78%,9.99%
2026-07-28 19:00:00,16.6%,6.43%,10.0%,8.70%,3.18%,4.48%,8.54%,3.35%,12.3%,6.55%
2026-07-28 22:00:00,,32.3%,11.2%,12.6%,4.83%,4.13%,3.96%,7.31%,4.57%,6.92%
2026-07-29 01:00:00,,1.38%,0.372%,9.11%,10.3%,13.9%,4.45%,10.4%,9.68%,6.42%
2026-07-29 04:00:00,,8.79%,3.54%,11.3%,6.08%,10.5%,10.7%,4.14%,11.8%,9.27%
2026-07-29 07:00:00,,7.82%,4.99%,13.1%,9.94%,12.2%,3.55%,3.28%,12.2%,7.00%
2026-07-29 10:00:00,,7.07%,9.34%,7.40%,5.67%,27.0%,2.30%,6.63%,4.42%,11.4%
2026-07-29 13:00:00,17.7%,3.26%,2.13%,6.75%,6.12%,14.0%,9.79%,5.44%,8.04%,
2026-07-29 16:00:00,11.8%,8.21%,18.2%,8.80%,7.40%,17.3%,2.56%,8.00%,9.25%,9.41%
2026-07-29 19:00:00,10.7%,0.406%,,7.51%,9.84%,7.39%,14.0%,3.33%,3.11%,5.73%
2026-07-29 22:00:00,6.29%,1.03%,,7.14%,2.49%,4.35%,3.24%,6.64%,3.24%,16.6%
2026-07-30 01:00:00,3.88%,1.57%,,7.46%,9.20%,10.3%,7.61%,3.17%,16.2%,8.41%
2026-07-30 04:00:00,5.09%,6.42%,,6.68%,5.44%,11.1%,1.04%,3.42%,9.75%,6.96%
2026-07-30 07:00:00,4.87%,0.548%,2.87%,11.3%,3.12%,29.8%,5.13%,4.91%,13.4%,7.21%
2026-07-30 10:00:00,4.39%,1.99%,4.41%,7.46%,6.63%,24.1%,16.3%,4.62%,0.808%,6.00%
2026-07-30 13:00:00,3.07%,2.30%,2.32%,9.70%,3.77%,5.30%,11.3%,5.27%,,6.52%
2026-07-30 16:00:00,24.2%,3.19%,6.74%,8.15%,6.53%,12.6%,1.04%,6.47%,,7.72%
2026-07-30 19:00:00,6.72%,,6.84%,9.19%,10.7%,19.0%,10.5%,8.05%,,8.46%
2026-07-30 22:00:00,6.46%,,11.1%,6.83%,5.59%,5.29%,7.03%,1.64%,4.06%,9.99%
2026-07-31 01:00:00,6.22%,0%,4.84%,10.5%,14.1%,1.41%,3.90%,5.02%,13.5%,5.92%
2026-07-31 04:00:00,4.69%,3.98%,6.26%,31.3%,11.9%,,9.63%,1.87%,6.60%,8.17%
2026-07-31 07:00:00,16.7%,1.53%,3.25%,10.4%,6.63%,,1.36%,2.83%,8.91%,6.95%
2026-07-31 10:00:00,6.19%,3.47%,0.986%,6.68%,1.99%,13.3%,5.23%,2.96%,1.39%,5.47%
2026-07-31 13:00:00,4.46%,5.16%,4.16%,11.1%,4.83%,6.70%,3.98%,35.5%,4.28%,8.97%
2026-07-31 16:00:00,4.39%,0.491%,2.47%,11.1%,4.27%,3.39%,13.7%,16.2%,3.54%,17.6%
2026-07-31 19:00:00,3.48%,2.62%,4.90%,7.02%,10.1%,7.90%,7.47%,4.21%,5.98%,26.0%
2026-07-31 22:00:00,4.94%,5.49%,11.1%,8.95%,11.9%,13.7%,3.92%,9.25%,18.8%,6.12%
2026-08-01 01:00:00,3.39%,10.7%,4.06%,6.74%,5.92%,17.9%,5.97%,3.56%,5.92%,8.86%
2026-08-01 04:00:00,5.09%,3.95%,0%,7.69%,8.38%,8.75%,6.44%,4.25%,10.5%,6.46%
2026-08-01 07:00:00,3.85%,3.93%,14.4%,7.72%,7.03%,5.91%,0.855%,5.68%,4.07%,6.35%
2026-08-01 10:00:00,3.53%,11.9%,1.31%,5.91%,15.3%,13.4%,1.22%,13.1%,0.581%,9.11%
2026-08-01 13:00:00,5.52%,2.80%,7.48%,13.7%,21.0%,4.88%,7.30%,3.16%,1.11%,7.29%
2026-08-01 16:00:00,3.80%,5.96%,4.91%,6.05%,5.90%,4.27%,3.25%,6.83%,6.05%,8.30%
2026-08-01 19:00:00,5.86%,2.59%,3.15%,6.39%,14.9%,22.3%,3.45%,5.60%,5.37%,6.58%
2026-08-01 22:00:00,4.30%,7.38%,16.3%,9.18%,36.1%,11.3%,11.1%,6.28%,10.7%,7.45%
2026-08-02 01:00:00,7.43%,5.21%,1.05%,4.77%,9.65%,10.3%,2.32%,2.94%,1.92%,7.85%
2026-08-02 04:00:00,5.87%,4.25%,7.38%,,,3.79%,1.69%,4.41%,9.42%,8.43%
2026-08-02 07:00:00,9.30%,5.99%,2.67%,,2.87%,5.15%,6.47%,4.16%,0.998%,6.16%
2026-08-02 10:00:00,5.80%,2.24%,3.52%,,1.22%,5.68%,2.34%,5.84%,1.16%,5.07%
2026-08-02 13:00:00,3.32%,3.34%,1.22%,,,10.3%,4.86%,9.04%,5.29%,7.85%
2026-08-02 16:00:00,4.28%,1.21%,1.43%,,,15.3%,3.28%,7.78%,4.40%,7.32%
2026-08-02 19:00:00,4.92%,3.63%,1.44%,,,12.1%,5.22%,2.74%,4.53%,4.89%
2026-08-02 22:00:00,11.2%,2.72%,4.86%,6.64%,,7.13%,16.2%,4.51%,4.98%,7.34%
2026-08-03 01:00:00,9.70%,2.90%,4.56%,6.37%,,13.6%,10.4%,4.57%,5.13%,7.29%
2026-08-03 04:00:00,4.34%,2.35%,1.94%,7.46%,,8.75%,1.01%,16.8%,1.20%,13.2%
2026-08-03 07:00:00,8.97%,9.76%,3.06%,8.33%,1.93%,12.3%,5.20%,3.03%,3.34%,5.38%
2026-08-03 10:00:00,4.54%,6.98%,8.32%,7.19%,19.7%,4.82%,1.73%,3.35%,3.03%,7.31%
2026-08-03 13:00:00,3.46%,3.94%,5.17%,8.16%,36.5%,8.67%,22.4%,4.91%,3.80%,8.65%
2026-08-03 16:00:00,3.84%,2.64%,2.14%,7.26%,13.4%,23.6%,5.52%,8.94%,13.1%,5.78%
2026-08-03 19:00:00,7.31%,5.29%,3.19%,6.74%,9.81%,7.96%,4.26%,4.67%,5.85%,9.12%
2026-08-03 22:00:00,3.73%,15.3%,1.85%,8.79%,7.35%,11.0%,9.12%,5.00%,1.32%,6.84%
2026-08-04 01:00:00,11.0%,0.400%,6.12%,6.23%,19.8%,9.53%,6.25%,3.15%,5.65%,7.71%
2026-08-04 04:00:00,3.92%,,2.22%,7.37%,7.61%,11.3%,,4.94%,18.4%,8.83%
2026-08-04 07:00:00,10.5%,,1.84%,7.91%,6.65%,7.99%,55.2%,3.34%,2.43%,8.97%
2026-08-04 10:00:00,6.20%,,4.94%,7.34%,23.9%,15.7%,11.2%,2.35%,11.6%,10.3%
2026-08-04 13:00:00,25.5%,,1.81%,6.26%,11.0%,3.44%,14.9%,10.9%,7.62%,5.52%
2026-08-04 16:00:00,5.97%,,8.46%,6.84%,5.19%,3.32%,11.4%,4.11%,1.73%,7.35%
2026-08-04 19:00:00,2.87%,,1.64%,5.68%,7.85%,5.23%,9.24%,3.78%,1.64%,6.44%
2026-08-04 22:00:00,5.83%,,1.61%,10.5%,6.72%,9.77%,8.66%,5.50%,3.29%,6.40%
2026-08-05 01:00:00,5.77%,0.254%,1.45%,9.89%,12.8%,2.47%,10.0%,4.12%,0.336%,7.26%
2026-08-05 04:00:00,5.14%,13.0%,6.64%,5.85%,7.18%,4.01%,6.66%,5.71%,3.24%,5.52%
2026-08-05 07:00:00,4.91%,3.61%,11.9%,6.97%,7.13%,1.16%,6.08%,4.15%,2.02%,5.41%
2026-08-05 10:00:00,8.92%,2.90%,,6.22%,23.5%,7.00%,15.4%,3.73%,2.22%,6.13%
2026-08-05 13:00:00,16.5%,8.14%,1.77%,9.11%,4.30%,6.17%,14.3%,1.80%,2.73%,9.88%
2026-08-05 16:00:00,4.51%,3.10%,5.73%,7.62%,20.1%,12.4%,1.48%,10.1%,2.43%,7.40%
2026-08-05 19:00:00,6.73%,32.1%,9.57%,10.0%,5.85%,2.93%,3.58%,13.5%,1.76%,5.50%
2026-08-05 22:00:00,19.3%,0.689%,11.8%,7.64%,11.5%,5.39%,4.27%,20.9%,1.18%,6.75%
2026-08-06 01:00:00,8.18%,3.71%,2.47%,9.89%,9.18%,3.86%,14.9%,,5.91%,6.31%
2026-08-06 04:00:00,6.66%,5.16%,6.19%,8.46%,11.9%,4.40%,7.18%,33.1%,8.04%,5.51%
2026-08-06 07:00:00,5.36%,4.78%,3.33%,6.78%,9.87%,18.9%,8.45%,,5.49%,8.38%
2026-08-06 10:00:00,6.23%,2.49%,2.11%,7.45%,17.3%,11.4%,13.4%,81.8%,5.01%,7.22%
2026-08-06 13:00:00,5.93%,20.0%,5.28%,20.6%,16.8%,8.17%,12.2%,,10.2%,8.04%
2026-08-06 16:00:00,4.26%,3.40%,1.82%,8.57%,4.00%,5.35%,8.77%,,13.2%,8.62%
2026-08-06 19:00:00,3.10%,1.60%,2.39%,11.7%,1.91%,6.54%,11.5%,,3.67%,5.36%
2026-08-06 22:00:00,7.05%,3.05%,0.645%,6.51%,5.51%,5.38%,10.00%,2.62%,3.36%,6.38%
2026-08-07 01:00:00,5.80%,2.78%,2.14%,8.20%,4.78%,2.12%,9.44%,4.01%,6.58%,10.6%
2026-08-07 04:00:00,4.21%,5.30%,6.85%,8.24%,4.44%,4.25%,7.73%,43.3%,9.12%,9.02%
2026-08-07 07:00:00,3.69%,9.43%,18.3%,9.07%,8.48%,8.04%,11.9%,2.38%,17.9%,5.96%
2026-08-07 10:00:00,8.98%,20.0%,10.8%,8.97%,3.33%,21.6%,12.4%,3.04%,2.11%,26.2%
2026-08-07 13:00:00,5.34%,3.84%,5.99%,8.35%,5.82%,29.6%,8.80%,9.12%,3.54%,5.09%
2026-08-07 16:00:00,4.83%,17.1%,4.24%,8.84%,12.4%,5.60%,11.3%,13.5%,,8.01%
2026-08-07 19:00:00,4.43%,6.30%,4.69%,7.78%,10.9%,3.58%,8.82%,4.48%,1.29%,6.16%
2026-08-07 22:00:00,15.0%,3.22%,13.2%,7.15%,4.55%,5.05%,4.82%,4.70%,5.67%,5.14%
2026-08-08 01:00:00,8.46%,4.79%,0.923%,8.70%,4.59%,4.21%,4.51%,3.53%,,8.41%
2026-08-08 04:00:00,12.7%,2.03%,2.76%,6.38%,3.60%,4.75%,4.75%,4.45%,,8.47%
2026-08-08 07:00:00,4.10%,1.78%,2.91%,6.01%,4.85%,4.55%,2.10%,3.92%,,7.02%
2026-08-08 10:00:00,6.43%,16.6%,3.44%,7.28%,4.99%,6.63%,38.3%,3.75%,,12.7%
2026-08-08 13:00:00,3.33%,13.0%,1.37%,7.70%,5.96%,4.15%,17.0%,2.77%,,8.28%
2026-08-08 16:00:00,6.70%,1.37%,1.43%,7.94%,5.08%,5.21%,13.4%,3.43%,24.2%,7.64%
2026-08-08 19:00:00,12.2%,2.27%,6.83%,9.06%,4.75%,8.18%,7.54%,10.4%,13.7%,5.59%
2026-08-08 22:00:00,4.85%,5.26%,3.76%,9.18%,4.36%,13.2%,8.30%,2.92%,3.52%,10.5%
2026-08-09 01:00:00,13.1%,2.84%,11.6%,8.12%,2.68%,3.46%,5.42%,4.43%,2.81%,7.56%
2026-08-09 04:00:00,4.46%,2.86%,14.2%,7.87%,7.56%,3.22%,12.3%,4.13%,3.44%,5.74%
2026-08-09 07:00:00,4.09%,1.95%,3.45%,7.39%,4.93%,4.01%,4.06%,7.73%,3.34%,
2026-08-09 10:00:00,4.29%,1.51%,1.54%,7.02%,4.23%,6.27%,11.7%,5.57%,15.2%,
2026-08-09 13:00:00,4.16%,10.9%,9.27%,11.5%,4.29%,1.32%,10.3%,5.14%,3.83%,6.37%
2026-08-09 16:00:00,9.73%,10.9%,15.6%,8.98%,2.41%,4.70%,13.3%,11.3%,3.43%,7.00%
2026-08-09 19:00:00,12.3%,5.51%,7.84%,39.2%,5.58%,2.87%,6.83%,5.36%,3.80%,6.90%
2026-08-09 22:00:00,5.13%,3.26%,3.31%,6.43%,3.71%,3.91%,5.00%,3.96%,5.05%,6.23%
2026-08-10 01:00:00,4.04%,5.58%,0.779%,6.34%,3.43%,15.4%,5.26%,6.27%,4.46%,6.24%
2026-08-10 04:00:00,4.31%,7.42%,10.9%,,4.39%,4.86%,5.32%,3.24%,4.14%,8.37%
2026-08-10 07:00:00,4.47%,2.47%,3.80%,,5.06%,9.86%,6.13%,1.52%,3.83%,8.51%
2026-08-10 10:00:00,4.21%,1.96%,1.09%,,12.8%,4.43%,16.5%,4.89%,25.0%,9.41%
2026-08-10 13:00:00,6.09%,3.07%,6.21%,,13.6%,3.63%,16.3%,5.30%,5.73%,9.57%
2026-08-10 16:00:00,3.09%,8.47%,0%,,1.77%,4.10%,4.11%,6.25%,17.2%,9.16%
2026-08-10 19:00:00,10.1%,4.40%,0%,,12.2%,5.82%,16.0%,12.3%,1.74%,5.58%
2026-08-10 22:00:00,16.2%,4.85%,0%,,3.51%,7.79%,5.83%,5.58%,22.1%,8.04%
2026-08-11 01:00:00,5.11%,3.36%,0%,,2.50%,13.9%,13.1%,5.67%,24.2%,7.51%
2026-08-11 04:00:00,23.6%,3.23%,,,2.61%,5.17%,6.92%,5.76%,5.21%,5.60%
2026-08-11 07:00:00,3.32%,1.51%,,,,7.99%,6.47%,12.5%,16.8%,6.28%
2026-08-11 10:00:00,9.29%,6.17%,,,2.84%,3.64%,11.3%,5.56%,18.5%,7.52%
2026-08-11 13:00:00,3.67%,2.28%,,,7.72%,16.7%,16.4%,8.00%,2.33%,8.02%
2026-08-11 16:00:00,3.46%,1.75%,,,7.12%,6.59%,13.9%,8.68%,2.08%,8.35%
2026-08-11 19:00:00,3.37%,5.42%,,,16.9%,6.00%,4.08%,3.23%,0.685%,8.66%
2026-08-11 22:00:00,6.76%,2.71%,0%,,7.47%,6.99%,9.90%,4.35%,3.90%,8.19%
2026-08-12 01:00:00,20.7%,12.3%,0%,,4.33%,7.01%,2.69%,10.0%,1.96%,16.4%
2026-08-12 04:00:00,5.64%,5.81%,12.1%,,5.75%,5.22%,12.4%,5.27%,1.50%,12.9%
2026-08-12 07:00:00,11.7%,6.22%,1.37%,,4.45%,32.9%,5.25%,6.57%,3.08%,12.7%
2026-08-12 10:00:00,4.50%,4.50%,1.01%,,5.45%,10.3%,13.2%,11.3%,3.10%,17.2%
2026-08-12 13:00:00,8.36%,4.35%,2.60%,6.40%,4.82%,14.1%,1.08%,6.05%,3.53%,7.25%
2026-08-12 16:00:00,14.9%,4.18%,0%,6.35%,4.82%,9.74%,2.25%,4.93%,2.78%,7.60%
2026-08-12 19:00:00,7.61%,1.28%,0.00528%,7.98%,4.88%,5.45%,0.0815%,5.64%,1.46%,18.4%
2026-08-12 22:00:00,8.17%,3.28%,2.23%,20.8%,3.66%,11.5%,6.01%,2.35%,5.06%,7.88%
2026-08-13 01:00:00,6.35%,8.80%,2.75%,12.8%,9.91%,5.19%,1.77%,3.93%,0.706%,10.8%
2026-08-13 04:00:00,24.5%,7.55%,0.242%,7.97%,13.4%,4.03%,2.35%,4.00%,1.76%,14.7%
2026-08-13 07:00:00,20.1%,4.14%,1.15%,7.98%,4.12%,2.23%,3.96%,2.95%,2.32%,6.37%
2026-08-13 10:00:00,12.7%,1.29%,1.53%,6.02%,6.99%,3.55%,5.24%,4.42%,3.71%,7.08%
2026-08-13 13:00:00,12.3%,5.27%,4.36%,6.16%,24.7%,12.4%,3.26%,4.46%,9.14%,6.95%
2026-08-13 16:00:00,33.9%,2.65%,4.75%,9.10%,7.82%,13.7%,3.07%,27.1%,3.63%,4.60%
2026-08-13 19:00:00,11.0%,0%,1.97%,11.6%,7.29%,5.98%,4.26%,4.77%,7.01%,7.25%
2026-08-13 22:00:00,4.51%,,2.38%,6.36%,4.22%,4.46%,15.1%,2.41%,5.72%,7.25%
2026-08-14 01:00:00,6.73%,0%,0.771%,8.51%,4.23%,6.72%,7.60%,5.74%,3.56%,9.07%
2026-08-14 04:00:00,3.27%,5.32%,1.95%,14.8%,2.71%,5.34%,1.52%,12.6%,2.42%,5.34%
2026-08-14 07:00:00,19.4%,2.04%,0.800%,10.4%,5.06%,3.85%,4.53%,10.9%,3.17%,5.47%
2026-08-14 10:00:00,6.71%,4.06%,0.774%,10.9%,3.20%,3.00%,3.56%,7.14%,10.8%,4.88%
2026-08-14 13:00:00,6.59%,5.49%,0.460%,6.72%,5.16%,4.28%,5.80%,16.8%,1.92%,6.59%
2026-08-14 16:00:00,14.7%,0.724%,2.92%,9.67%,21.4%,8.06%,10.2%,5.18%,2.12%,10.6%
2026-08-14 19:00:00,7.28%,2.50%,,7.98%,4.69%,14.3%,12.4%,5.59%,3.97%,7.66%
2026-08-14 22:00:00,8.86%,2.95%,,6.66%,10.8%,22.7%,10.6%,3.16%,12.8%,6.72%
2026-08-15 01:00:00,10.9%,7.58%,,7.84%,2.47%,13.1%,1.44%,3.07%,1.62%,8.70%
2026-08-15 04:00:00,14.2%,6.03%,2.33%,7.32%,7.85%,6.33%,1.39%,5.56%,2.85%,6.03%
2026-08-15 07:00:00,5.57%,7.84%,15.5%,8.18%,2.03%,5.30%,3.32%,3.82%,4.09%,5.92%
2026-08-15 10:00:00,5.87%,7.82%,4.83%,7.23%,4.85%,8.91%,3.78%,5.99%,3.65%,5.82%
2026-08-15 13:00:00,4.65%,8.77%,21.9%,15.0%,2.42%,23.6%,6.14%,8.46%,2.86%,8.24%
2026-08-15 16:00:00,4.26%,2.64%,13.0%,19.1%,7.36%,7.73%,2.81%,,3.63%,8.06%
2026-08-15 19:00:00,8.63%,4.97%,5.98%,7.96%,5.71%,21.5%,6.27%,,2.64%,7.12%
2026-08-15 22:00:00,6.62%,1.78%,0.705%,7.50%,3.28%,10.7%,2.95%,3.63%,3.57%,9.89%
2026-08-16 01:00:00,9.27%,14.0%,0.734%,7.18%,2.90%,5.10%,3.45%,,5.11%,8.85%
2026-08-16 04:00:00,3.45%,22.1%,3.43%,9.56%,4.35%,13.2%,3.06%,5.15%,2.68%,6.95%
2026-08-16 07:00:00,18.8%,6.71%,2.42%,6.85%,2.87%,11.0%,3.14%,2.10%,5.53%,5.95%
2026-08-16 10:00:00,5.35%,6.46%,3.15%,7.42%,4.42%,5.29%,11.0%,2.19%,6.62%,6.83%
2026-08-16 13:00:00,4.72%,1.61%,4.10%,8.99%,10.6%,,14.0%,9.79%,3.14%,7.93%
2026-08-16 16:00:00,4.52%,1.67%,2.29%,8.40%,16.2%,,6.73%,5.06%,3.30%,8.80%
2026-08-16 19:00:00,6.11%,1.11%,1.32%,7.65%,9.89%,,3.93%,15.4%,5.92%,3.99%
2026-08-16 22:00:00,7.82%,3.67%,2.18%,7.31%,38.5%,,31.1%,28.0%,7.49%,10.2%
2026-08-17 01:00:00,6.12%,4.17%,9.59%,10.7%,3.49%,,44.9%,6.89%,3.31%,6.14%
2026-08-17 04:00:00,8.63%,2.67%,11.1%,21.9%,8.16%,,,24.0%,3.91%,12.3%
2026-08-17 07:00:00,4.81%,1.81%,6.45%,9.77%,4.67%,,0%,14.1%,2.88%,5.21%
2026-08-17 10:00:00,4.27%,9.11%,4.92%,9.67%,7.88%,9.23%,,9.53%,3.00%,8.82%
