"Time","P_FW - I38","P_FW - I39","P_FW - I40","P_FW - I41","P_FW - I42","P_FW - I43","P_FW - I44","P_FW - I47","P_FW - I48"
2026-06-29 16:00:00,0.101 Mpa,,0.177 Mpa,0.211 Mpa,0.104 Mpa,0.292 Mpa,0.231 Mpa,0.269 Mpa,
2026-06-29 19:00:00,0.170 Mpa,,0.195 Mpa,0.159 Mpa,0.0879 Mpa,0.344 Mpa,0.661 Mpa,0.298 Mpa,
2026-06-29 22:00:00,0.0886 Mpa,,0.140 Mpa,0.161 Mpa,0.0704 Mpa,0.276 Mpa,0.650 Mpa,0.232 Mpa,
2026-06-30 01:00:00,0.111 Mpa,,0.131 Mpa,0.168 Mpa,0.220 Mpa,0.289 Mpa,0.387 Mpa,0.297 Mpa,
2026-06-30 04:00:00,0.0793 Mpa,,0.190 Mpa,0.162 Mpa,0.142 Mpa,0.288 Mpa,0.448 Mpa,0.278 Mpa,
2026-06-30 07:00:00,0.186 Mpa,,0.460 Mpa,0.225 Mpa,0.0324 Mpa,0.342 Mpa,0.292 Mpa,0.288 Mpa,
2026-06-30 10:00:00,0.182 Mpa,,0.131 Mpa,0.304 Mpa,0.0749 Mpa,0.410 Mpa,0.336 Mpa,0.301 Mpa,
2026-06-30 13:00:00,0.114 Mpa,,0.171 Mpa,0.157 Mpa,0.0776 Mpa,0.369 Mpa,0.176 Mpa,0.344 Mpa,
2026-06-30 16:00:00,0.182 Mpa,,0.177 Mpa,0.171 Mpa,0.0966 Mpa,0.314 Mpa,0.334 Mpa,0.314 Mpa,
2026-06-30 19:00:00,0.162 Mpa,,0.167 Mpa,0.175 Mpa,0.188 Mpa,0.280 Mpa,0.286 Mpa,0.376 Mpa,
2026-06-30 22:00:00,0.200 Mpa,,0.247 Mpa,0.0924 Mpa,0.268 Mpa,0.264 Mpa,0.168 Mpa,0.191 Mpa,
2026-07-01 01:00:00,0.178 Mpa,,0.130 Mpa,0.279 Mpa,0.0926 Mpa,0.359 Mpa,0.233 Mpa,,
2026-07-01 04:00:00,0.153 Mpa,,0.129 Mpa,0.237 Mpa,0.257 Mpa,0.291 Mpa,0.233 Mpa,,
2026-07-01 07:00:00,0.187 Mpa,,0.414 Mpa,0.186 Mpa,0.352 Mpa,0.380 Mpa,0.200 Mpa,,
2026-07-01 10:00:00,0.193 Mpa,,0.146 Mpa,0.349 Mpa,0.0839 Mpa,0.393 Mpa,0.386 Mpa,0.837 Mpa,
2026-07-01 13:00:00,0.0849 Mpa,,0.160 Mpa,0.209 Mpa,0.142 Mpa,0.396 Mpa,0.290 Mpa,,
2026-07-01 16:00:00,0.0667 Mpa,,0.128 Mpa,0.250 Mpa,0.183 Mpa,0.409 Mpa,0.365 Mpa,,
2026-07-01 19:00:00,0.0717 Mpa,,0.155 Mpa,0.318 Mpa,0.232 Mpa,0.292 Mpa,0.247 Mpa,0.523 Mpa,
2026-07-01 22:00:00,0.178 Mpa,,0.175 Mpa,0.217 Mpa,0.0773 Mpa,0.308 Mpa,0.286 Mpa,,
2026-07-02 01:00:00,0.138 Mpa,,0.116 Mpa,0.211 Mpa,0.242 Mpa,0.333 Mpa,0.257 Mpa,,
2026-07-02 04:00:00,0.142 Mpa,,0.147 Mpa,0.165 Mpa,0.0467 Mpa,0.278 Mpa,0.241 Mpa,,
2026-07-02 07:00:00,0.197 Mpa,,0.210 Mpa,0.176 Mpa,0.240 Mpa,0.282 Mpa,0.238 Mpa,,
2026-07-02 10:00:00,0.130 Mpa,,0.133 Mpa,0.162 Mpa,0.132 Mpa,0.282 Mpa,0.197 Mpa,,
2026-07-02 13:00:00,0.0880 Mpa,,0.175 Mpa,0.142 Mpa,0.0802 Mpa,0.300 Mpa,0.316 Mpa,,
2026-07-02 16:00:00,0.0908 Mpa,,0.191 Mpa,0.273 Mpa,0.149 Mpa,0.522 Mpa,0.163 Mpa,,
2026-07-02 19:00:00,0.231 Mpa,,0.188 Mpa,0.235 Mpa,0.120 Mpa,0.332 Mpa,0.278 Mpa,,
2026-07-02 22:00:00,0.128 Mpa,,0.163 Mpa,,0.0889 Mpa,0.317 Mpa,0.310 Mpa,,
2026-07-03 01:00:00,0.123 Mpa,,0.0983 Mpa,0.0726 Mpa,0.172 Mpa,0.372 Mpa,0.244 Mpa,,
2026-07-03 04:00:00,0.213 Mpa,,0.0984 Mpa,0.227 Mpa,0.138 Mpa,0.336 Mpa,0.566 Mpa,,
2026-07-03 07:00:00,0.111 Mpa,,0.226 Mpa,0.344 Mpa,0.0724 Mpa,0.517 Mpa,0.254 Mpa,,
2026-07-03 10:00:00,0.177 Mpa,,0.143 Mpa,0.182 Mpa,0.170 Mpa,0.526 Mpa,0.313 Mpa,,
2026-07-03 13:00:00,0.136 Mpa,,0.142 Mpa,0.234 Mpa,0.250 Mpa,0.464 Mpa,0.255 Mpa,,
2026-07-03 16:00:00,0.107 Mpa,,0.124 Mpa,0.228 Mpa,0.121 Mpa,0.436 Mpa,0.298 Mpa,,
2026-07-03 19:00:00,0.00791 Mpa,,0.119 Mpa,0.200 Mpa,0.151 Mpa,0.419 Mpa,0.298 Mpa,,
2026-07-03 22:00:00,0.108 Mpa,,0.132 Mpa,0.206 Mpa,0.0617 Mpa,0.364 Mpa,0.343 Mpa,,
2026-07-04 01:00:00,0.00128 Mpa,,0.182 Mpa,0.209 Mpa,0.123 Mpa,0.360 Mpa,0.264 Mpa,,
2026-07-04 04:00:00,,,0.149 Mpa,0.174 Mpa,0.110 Mpa,0.353 Mpa,0.316 Mpa,,
2026-07-04 07:00:00,0.0139 Mpa,,0.268 Mpa,0.232 Mpa,0.149 Mpa,0.285 Mpa,0.238 Mpa,,
2026-07-04 10:00:00,0.117 Mpa,,0.219 Mpa,0.338 Mpa,0.183 Mpa,0.894 Mpa,0.301 Mpa,,
2026-07-04 13:00:00,0.138 Mpa,,0.184 Mpa,0.301 Mpa,0.0176 Mpa,0.560 Mpa,0.457 Mpa,,
2026-07-04 16:00:00,0.0882 Mpa,,0.146 Mpa,0.221 Mpa,0.166 Mpa,0.352 Mpa,0.273 Mpa,,
2026-07-04 19:00:00,0.162 Mpa,,0.130 Mpa,0.249 Mpa,0.163 Mpa,0.453 Mpa,0.274 Mpa,,
2026-07-04 22:00:00,0.270 Mpa,,0.140 Mpa,0.349 Mpa,0.253 Mpa,0.277 Mpa,0.400 Mpa,0.263 Mpa,
2026-07-05 01:00:00,0.109 Mpa,,0.0602 Mpa,0.184 Mpa,0.0454 Mpa,0.289 Mpa,0.200 Mpa,,
2026-07-05 04:00:00,0.116 Mpa,,0.121 Mpa,0.209 Mpa,0.265 Mpa,0.300 Mpa,0.263 Mpa,,
2026-07-05 07:00:00,0.120 Mpa,,0.330 Mpa,0.403 Mpa,0.101 Mpa,0.299 Mpa,0.341 Mpa,,
2026-07-05 10:00:00,0.117 Mpa,,0.185 Mpa,0.233 Mpa,0.123 Mpa,0.292 Mpa,0.248 Mpa,,
