sep=,
"Time","I38"
1787070135000,26.66333333333333
1787070150000,26.676666666666666
1787070165000,26.676666666666666
1787070180000,26.66
1787070195000,26.66
1787070210000,
1787070225000,
1787070240000,
1787070255000,26.62
1787070270000,
1787070285000,
1787070300000,
1787070315000,26.685000000000002
1787070330000,26.603333333333335
1787070345000,26.676666666666666
1787070360000,26.676666666666666
1787070375000,26.69333333333334
1787070390000,26.676666666666666
1787070405000,26.663333333333338
1787070420000,26.69333333333333
1787070435000,26.680000000000003
1787070450000,26.663333333333338
1787070465000,26.633333333333336
1787070480000,26.676666666666666
1787070495000,26.646666666666665
1787070510000,26.663333333333338
1787070525000,26.62
1787070540000,26.633333333333336
1787070555000,26.66
1787070570000,26.646666666666665
1787070585000,26.646666666666665
1787070600000,26.633333333333336
1787070615000,26.676666666666666
1787070630000,26.66333333333333
1787070645000,26.66
1787070660000,26.676666666666666
1787070675000,26.69333333333334
1787070690000,26.646666666666665
1787070705000,26.69333333333334
1787070720000,26.646666666666665
1787070735000,26.646666666666665
1787070750000,26.663333333333338
1787070765000,26.679999999999996
1787070780000,26.663333333333338
1787070795000,26.646666666666665
1787070810000,26.663333333333338
1787070825000,26.679999999999996
1787070840000,26.633333333333336
1787070855000,26.663333333333338
1787070870000,26.646666666666665
1787070885000,26.66
1787070900000,26.710000000000004
1787070915000,26.66
1787070930000,26.66
1787070945000,26.69333333333334
1787070960000,26.676666666666666
1787070975000,26.676666666666666
1787070990000,26.709999999999997
1787071005000,26.663333333333338
1787071020000,26.69333333333334
1787071035000,26.69333333333334
1787071050000,26.69333333333334
1787071065000,26.676666666666666
1787071080000,26.676666666666666
1787071095000,26.646666666666665
1787071110000,25.790000000000003
1787071125000,25.38
1787071140000,26.69333333333334
1787071155000,26.709999999999997
1787071170000,26.69333333333334
1787071185000,26.72666666666667
1787071200000,26.69333333333333
1787071215000,26.72666666666667
1787071230000,26.663333333333338
1787071245000,26.72666666666667
1787071260000,26.676666666666666
1787071275000,26.69333333333333
1787071290000,26.69333333333334
1787071305000,26.66
1787071320000,26.69333333333333
1787071335000,26.72666666666667
1787071350000,26.646666666666665
1787071365000,26.680000000000003
1787071380000,26.676666666666666
1787071395000,26.680000000000003
1787071410000,26.676666666666666
1787071425000,26.663333333333338
1787071440000,26.646666666666665
1787071455000,26.676666666666666
1787071470000,26.663333333333338
1787071485000,
1787071500000,
1787071515000,
1787071530000,26.71
1787071545000,
1787071560000,
1787071575000,
1787071590000,
1787071605000,26.676666666666666
1787071620000,26.61666666666667
1787071635000,26.66
1787071650000,26.66
1787071665000,26.646666666666665
1787071680000,26.663333333333338
1787071695000,26.66
1787071710000,26.646666666666665
1787071725000,26.646666666666665
1787071740000,26.646666666666665
1787071755000,26.646666666666665
1787071770000,26.646666666666665
1787071785000,26.633333333333336
1787071800000,26.603333333333335
1787071815000,26.646666666666665
1787071830000,24.77
1787071845000,25.355
1787071860000,
1787071875000,
1787071890000,
1787071905000,26.66
1787071920000,
1787071935000,
1787071950000,
1787071965000,26.57
1787071980000,
1787071995000,
1787072010000,
1787072025000,26.62
1787072040000,
1787072055000,
1787072070000,
1787072085000,
1787072100000,26.592499999999998
1787072115000,26.603333333333335
1787072130000,26.570000000000004
1787072145000,26.633333333333336
1787072160000,26.603333333333335
1787072175000,25.776666666666667
1787072190000,25.296666666666667
1787072205000,26.153333333333336
1787072220000,26.633333333333336
1787072235000,26.616666666666664
1787072250000,26.603333333333335
1787072265000,26.600000000000005
1787072280000,26.616666666666664
1787072295000,26.603333333333335
1787072310000,26.603333333333335
1787072325000,26.616666666666664
1787072340000,26.603333333333335
1787072355000,26.61666666666667
1787072370000,26.570000000000004
1787072385000,26.570000000000004
1787072400000,26.595
1787072415000,
1787072430000,
1787072445000,
1787072460000,25.43
1787072475000,
1787072490000,
1787072505000,
1787072520000,26.57
1787072535000,26.58666666666667
1787072550000,26.63
1787072565000,26.62
1787072580000,26.570000000000004
1787072595000,26.599999999999998
1787072610000,26.570000000000004
1787072625000,26.633333333333336
1787072640000,26.603333333333335
1787072655000,26.603333333333335
1787072670000,26.58666666666667
1787072685000,26.58666666666667
1787072700000,26.633333333333336
1787072715000,26.156666666666666
1787072730000,25.723333333333333
1787072745000,26.61666666666667
1787072760000,26.58666666666667
1787072775000,26.586666666666662
1787072790000,26.603333333333335
1787072805000,26.603333333333335
1787072820000,25.296666666666667
1787072835000,26.14
1787072850000,26.603333333333335
1787072865000,26.586666666666662
1787072880000,26.586666666666662
1787072895000,26.58666666666667
